,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
2303,2303,2978,74,Playing for Keeps : A Neighbor from Hell Novel,R L Mathewson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Apr 2011,332,Rerum Publishing House,English,Playing for Keeps,R.L. Mathewson,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Adult,April 29th 2011,220,Rerum Publishing House,English
2304,2304,571,75,Fallen Too Far,Abbi Glines,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jul 2013,256,Simon & Schuster Ltd,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,
2307,2307,1146,75,Forever Too Far,Abbi Glines,Romance:Romance Books,01 Aug 2013,288,Simon & Schuster Ltd,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,
2310,2310,1278,75,Rush Too Far,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 May 2014,256,Simon & Schuster Ltd,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,
2317,2317,2823,75,Forever Too Far,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Apr 2014,255,Atria Books,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,
2318,2318,2824,75,Fallen Too Far,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Apr 2014,223,Atria Books,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,
2323,2323,1030,76,Wallbanger,Alice Clayton,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Aug 2013,384,SIMON & SCHUSTER,English,Wallbanger,Alice Clayton,Contemporary;Romance;Contemporary Romance;Humor;Funny;New Adult;Womens Fiction;Chick Lit;Adult;Humor,November 27th 2012,384,Omnific Publishing,English
2343,2343,1384,77,The Perfect Play,Jaci Burton,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2011,324,Penguin Putnam Inc,English,The Perfect Play,Jaci Burton,Romance;Sports and Games;Sports;Romance;Contemporary Romance;Contemporary;Contemporary Romance;Sports Romance;Adult Fiction;Erotica,February 1st 2011,324,Penguin Berkley Heat,English
2365,2365,2554,78,Call Me Irresistible,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Apr 2012,384,HarperCollins Publishers Inc,English,Call Me Irresistible,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,January 18th 2011,385,William Morrow,English
2459,2459,1373,79,Practice Makes Perfect,Julie James,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jul 2011,291,Penguin Putnam Inc,English,Practice Makes Perfect,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,March 3rd 2009,291,Berkley Sensation,English
2571,2571,66,80,The Sky Is Everywhere,Jandy Nelson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Children's Fiction:Children's General Story Books:Family,05 Feb 2015,320,Walker Books Ltd,English,The Sky Is Everywhere,Jandy Nelson,Young Adult;Contemporary;Romance;Fiction,March 9th 2010,288,Dial Books,English
2595,2595,2614,81,Rock Chick,Kristen Ashley,Contemporary Fiction:Adventure Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Apr 2014,390,Kristen Ashley,English,Rock Chick,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny,December 1st 2008,412,Youwriteon,English
