,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
18632,18632,1142,537,Branded by Fire : Book 6,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,14 Apr 2011,368,Orion Publishing Co,English,Branded by Fire,Nalini Singh,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Shapeshifters;Fantasy;Urban Fantasy;Adult;Science Fiction;Fiction;Shapeshifters;Werewolves,July 7th 2009,345,Berkley,
18688,18688,128,540,Lover Awakened : A Novel of the Black Dagger Brotherhood,J. R. Ward,Crime:Crime Fiction:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English,Stepbrother Dearest,Penelope Ward,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult Fiction;Erotica,September 23rd 2014,230,CreateSpace Independent Publishing Platform,English
18691,18691,152,540,Lover Enshrined : A Novel of the Black Dagger Brotherhood,J. R. Ward,Romance:Romance Books,04 Jul 2008,560,Penguin Books Australia,English,Stepbrother Dearest,Penelope Ward,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult Fiction;Erotica,September 23rd 2014,230,CreateSpace Independent Publishing Platform,English
18704,18704,1090,540,Dark Lover : The First Novel of the Black Dagger Brotherhood,J R Ward,Contemporary Fiction:Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books,04 Apr 2014,408,Penguin Putnam Inc,English,Stepbrother Dearest,Penelope Ward,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult Fiction;Erotica,September 23rd 2014,230,CreateSpace Independent Publishing Platform,English
18865,18865,363,543,If You Deceive,Kresley Cole,Romance:Romance Books:Historical Romance:Historical Romance,19 Nov 2007,368,SIMON & SCHUSTER,English,If You Desire,Kresley Cole,Romance;Historical Romance;Romance;Historical,April 24th 2007,356,Pocket,English
18912,18912,2246,545,Ashes in the Wind,Kathleen E. Woodiwiss,Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,672,HarperCollins Publishers Inc,English,Ashes in the Wind,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,,664,,English
18974,18974,2575,548,Effortless,S. C. Stephens,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Aug 2013,487,SIMON & SCHUSTER,English,Effortless,S.C. Stephens,Romance;New Adult;Romance;Contemporary Romance;Contemporary,January 8th 2013,487,Gallery Books,English
19061,19061,270,549,Succubus Blues,Richelle Mead,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,05 Aug 2010,384,Kensington Publishing,English,Succubus Blues,Richelle Mead,Fantasy;Urban Fantasy;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance;Paranormal;Vampires;Paranormal;Demons;Adult,March 1st 2007,343,Kensington,English
19389,19389,461,560,To Tame A Highland Warrior,Karen Marie Moning,Historical Romance:Historical Romance,01 Mar 2000,366,Bantam Doubleday Dell Publishing Group Inc,English,The Immortal Highlander,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Science Fiction;Time Travel;Romance;Historical Romance,July 26th 2005,348,Dell,English
20066,20066,1709,587,Fires of Winter,Johanna Lindsey,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,02 Sep 2011,400,HarperCollins Publishers Inc,English,Fires of Winter,Johanna Lindsey,Romance;Historical Romance;Romance;Historical;Historical;Medieval,September 1980,362,Avon,English
20584,20584,2939,606,Mile High,R K Lilley,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Feb 2013,308,R.K. Lilley,English,Mile High,R.K. Lilley,Romance;Erotica;Bdsm;Adult Fiction;Erotica;Romance;Contemporary Romance;Contemporary,November 2nd 2012,283,R.K. Lilley,
20702,20702,2195,612,Drums of Autumn,Diana Gabaldon,Science Fiction:Science Fiction:Romance:Romance Books:Historical Romance:Historical Romance,10 Nov 1997,1120,Turtleback Books,English,Drums of Autumn,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical,August 7th 2001,880,Delta,English
