Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
A Heart So Wild,Johanna Lindsey,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Jun 1992,350,HarperCollins Publishers Inc,English,0380750848,0380750848,https://www.bookdepository.com/Heart-So-Wild-Johanna-Lindsey/9780380750849?ref=grid-view,
Secrets of the Shipyard Girls,Nancy Revell,World War 2 Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Jan 2018,512,Cornerstone,English,1784754668,1784754668,https://www.bookdepository.com/Secrets-Shipyard-Girls-Nancy-Revell/9781784754662?ref=grid-view,
Untamed Highlander,Donna Grant,Fantasy:Fantasy Books:Historical Romance:Historical Romance,10 May 2011,336,St Martin's Press,English,0312533470,0312533470,https://www.bookdepository.com/Untamed-Highlander-Donna-Grant/9780312533472?ref=grid-view,
Guarding a Notorious Lady,Olivia Parker,Romance:Romance Books:Historical Romance:Historical Romance,05 Jun 2011,384,HarperCollins Publishers Inc,English,0061988405,0061988405,https://www.bookdepository.com/Guarding-Notorious-Lady-Olivia-Parker/9780061988400?ref=grid-view,
Scandalous Desires : Number 3 in series,Elizabeth Hoyt,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,03 Nov 2011,384,Little Brown Book Group,English,0749954507,0749954507,https://www.bookdepository.com/Scandalous-Desires-Elizabeth-Hoyt/9780749954505?ref=grid-view,
Seven Secrets of Seduction,Anne Mallory,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Jun 2010,384,HarperCollins Publishers Inc,English,0061579157,0061579157,https://www.bookdepository.com/Seven-Secrets-Seduction-Anne-Mallory/9780061579158?ref=grid-view,
A Bride Unveiled,Jillian Hunter,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,04 Oct 2011,339,Penguin Putnam Inc,English,0451413113,0451413113,https://www.bookdepository.com/Bride-Unveiled-Jillian-Hunter/9780451413116?ref=grid-view,
Restoration,Rose Tremain,Historical Romance:Historical Romance:Historical Fiction,01 Jul 2011,416,Vintage Publishing,English,0099529637,0099529637,https://www.bookdepository.com/Restoration-Rose-Tremain/9780099529637?ref=grid-view,
Call of the Kiwi,Sarah Lark:D. W. Lovett,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,20 May 2014,492,Amazon Publishing,English,1477820264,1477820264,https://www.bookdepository.com/Call-Kiwi-Sarah-Lark/9781477820261?ref=grid-view,
My Lord and Spymaster,Joanna Bourne,Espionage:Espionage:Historical Romance:Historical Romance,01 Jul 2008,324,Berkley Books,English,0425222462,0425222462,https://www.bookdepository.com/My-Lord-Spymaster-Joanna-Bourne/9780425222461?ref=grid-view,
His Wicked Charm,Candace Camp,Historical Romance:Historical Romance,27 Mar 2018,480,HQN,English,0373804059,0373804059,https://www.bookdepository.com/His-Wicked-Charm-Candace-Camp/9780373804054?ref=grid-view,
The Sultan of Palermo,Ali Tariq,Historical Romance:Historical Romance:Historical Fiction,17 Oct 2006,240,Verso Books,English,1844671011,1844671011,https://www.bookdepository.com/Sultan-Palermo-Ali-Tariq/9781844671014?ref=grid-view,
Never A Gentleman : Number 2 in series,Eileen Dreyer,Contemporary Fiction:Historical Romance:Historical Romance,05 May 2011,384,Little Brown & Company,English,0446542067,0446542067,https://www.bookdepository.com/Never-Gentleman-Eileen-Dreyer/9780446542067?ref=grid-view,
My Once and Future Duke : The Wagers of Sin,Caroline Linden,Romance:Romance Books:Historical Romance:Historical Romance,08 Mar 2018,384,HarperCollins Publishers Inc,English,0062672924,0062672924,https://www.bookdepository.com/My-Once-Future-Duke-Caroline-Linden/9780062672926?ref=grid-view,
Lady Alexandra's Lover : Three,Helen Hardt,Romance:Romance Books:Historical Romance:Historical Romance,11 Aug 2015,300,Waterhouse Press,English,0990505693,0990505693,https://www.bookdepository.com/Lady-Alexandras-Lover-Helen-Hardt/9780990505693?ref=grid-view,
Bridegroom Wore Plaid,Grace Burrowes,Historical Romance:Historical Romance,15 Dec 2012,375,Sourcebooks Inc,English,1402268661,1402268661,https://www.bookdepository.com/Bridegroom-Wore-Plaid-Grace-Burrowes/9781402268663?ref=grid-view,
This Rake Of Mine,Elizabeth Boyle,Historical Romance:Historical Romance,29 Aug 2011,375,HarperCollins Publishers Inc,English,0060783990,0060783990,https://www.bookdepository.com/This-Rake-Mine-Elizabeth-Boyle/9780060783990?ref=grid-view,
Charming the Prince,Teresa Medeiros,Romance:Romance Books:Historical Romance:Historical Romance,01 May 2004,352,Bantam Doubleday Dell Publishing Group Inc,English,0553575023,0553575023,https://www.bookdepository.com/Charming-Prince-Teresa-Medeiros/9780553575026?ref=grid-view,
Only For You,Hannah Howell,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Jul 2007,384,Kensington Publishing,English,0821781510,0821781510,https://www.bookdepository.com/Only-For-You-Hannah-Howell/9780821781517?ref=grid-view,
Too Wicked to Tame,Sophie Jordan,Historical Romance:Historical Romance,01 Mar 2007,384,HarperCollins Publishers Inc,English,0061122262,0061122262,https://www.bookdepository.com/Too-Wicked-Tame-Sophie-Jordan/9780061122262?ref=grid-view,
Before the Scandal : The Notorious Gentlemen,Suzanne Enoch,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,0061456748,0061456748,https://www.bookdepository.com/Before-Scandal-Suzanne-Enoch/9780061456749?ref=grid-view,
Rashi's Daughters Book III: Rachel : A Novel of Love and the Talmud in Medieval France,Maggie Anton,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,04 Aug 2009,425,Penguin Putnam Inc,English,0452295688,0452295688,https://www.bookdepository.com/Rashis-Daughters-Book-III-Rachel-Maggie-Anton/9780452295681?ref=grid-view,
And Then Comes Marriage,Celeste Bradley,Historical Romance:Historical Romance,30 Aug 2013,352,St Martin's Press,English,1250016134,1250016134,https://www.bookdepository.com/Then-Comes-Marriage-Celeste-Bradley/9781250016133?ref=grid-view,
A Nightingale Christmas Carol : (Nightingales 8),Donna Douglas,Contemporary Fiction:World War 2 Fiction:Historical Romance:Historical Romance:Sagas,01 Feb 2017,384,Cornerstone,English,1784750018,1784750018,https://www.bookdepository.com/Nightingale-Christmas-Carol-Donna-Douglas/9781784750015?ref=grid-view,
The Rake,Suzanne Enoch,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,375,HarperCollins Publishers Inc,English,038082082X,038082082X,https://www.bookdepository.com/Rake-Suzanne-Enoch/9780380820825?ref=grid-view,
When Love Awaits,Johanna Lindsey,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Jan 2004,352,HarperCollins Publishers Inc,English,0380897393,0380897393,https://www.bookdepository.com/When-Love-Awaits-Johanna-Lindsey/9780380897391?ref=grid-view,
Caught by the Scot,Karen Hawkins,Historical Romance:Historical Romance,26 Sep 2017,384,POCKET BOOKS,English,1476786038,1476786038,https://www.bookdepository.com/Caught-by-Scot-Karen-Hawkins/9781476786032?ref=grid-view,
Devil in My Bed,Celeste Bradley,Historical Romance:Historical Romance,04 Aug 2009,352,St Martin's Press,English,0312943083,0312943083,https://www.bookdepository.com/Devil-My-Bed-Celeste-Bradley/9780312943080?ref=grid-view,
The Earl's Mistress,Liz Carlyle,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,26 Aug 2014,400,HarperCollins Publishers Inc,English,0062100300,0062100300,https://www.bookdepository.com/Earls-Mistress-Liz-Carlyle/9780062100306?ref=grid-view,
Like No Other Lover : Pennyroyal Green Series,Julie Anne Long,Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,384,HarperCollins Publishers Inc,English,0061341592,0061341592,https://www.bookdepository.com/Like-No-Other-Lover-Julie-Anne-Long/9780061341595?ref=grid-view,
Butterfield 8,John O'Hara,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,14 Nov 2013,274,Penguin Putnam Inc,English,0143124684,0143124684,https://www.bookdepository.com/Butterfield-8-John-OHara/9780143124689?ref=grid-view,
Delicious,Sherry Thomas,Myth & Legend Told As Fiction:Historical Romance:Historical Romance,01 Aug 2008,404,Random House USA Inc,English,0440244323,0440244323,https://www.bookdepository.com/Delicious-Sherry-Thomas/9780440244325?ref=grid-view,
Secrets Of A Summer Night : Number 1 in series,Lisa Kleypas,Historical Romance:Historical Romance:Historical Fiction,03 Jun 2010,352,Little Brown Book Group,English,0749942800,0749942800,https://www.bookdepository.com/Secrets-Summer-Night-Lisa-Kleypas/9780749942809?ref=grid-view,
The Marriage Bed,Laura Lee Guhrke,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,23 Sep 2005,384,HarperCollins Publishers Inc,English,0060774738,0060774738,https://www.bookdepository.com/Marriage-Bed-Laura-Lee-Guhrke/9780060774738?ref=grid-view,
To Wed a Wicked Earl,Olivia Parker,Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,384,HarperCollins Publishers Inc,English,0061712787,0061712787,https://www.bookdepository.com/Wed-Wicked-Earl-Olivia-Parker/9780061712784?ref=grid-view,
Follow My Lead,Kate Noble,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,03 May 2011,376,Berkley Books,English,0425241513,0425241513,https://www.bookdepository.com/Follow-My-Lead-Kate-Noble/9780425241516?ref=grid-view,
Ecstasy,Nicole Jordan,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,06 Dec 2002,432,Random House USA Inc,English,0804119791,0804119791,https://www.bookdepository.com/Ecstasy-Nicole-Jordan/9780804119795?ref=grid-view,
Be Mine Tonight,Kathryn Smith,Historical Romance:Historical Romance,08 Jul 2011,370,HarperCollins Publishers Inc,English,0060848367,0060848367,https://www.bookdepository.com/Be-Mine-Tonight-Kathryn-Smith/9780060848361?ref=grid-view,
When a Duke Loves a Woman : A Sins for All Seasons Novel,Lorraine Heath,Romance:Romance Books:Historical Romance:Historical Romance,09 Aug 2018,384,HarperCollins Publishers Inc,English,0062676024,0062676024,https://www.bookdepository.com/When-Duke-Loves-Woman-Lorraine-Heath/9780062676023?ref=grid-view,
The Innocent,Posie Graeme-Evans,Historical Romance:Historical Romance:Historical Fiction,14 Jun 2005,406,Atria Books,English,0743272226,0743272226,https://www.bookdepository.com/Innocent-Posie-Graeme-Evans/9780743272223?ref=grid-view,
The Viscount Who Lived Down the Lane : Rhymes With Love,Elizabeth Boyle,Romance:Romance Books:Historical Romance:Historical Romance,13 Apr 2015,384,HarperCollins Publishers Inc,English,0062283812,0062283812,https://www.bookdepository.com/Viscount-Who-Lived-Down-Lane-Elizabeth-Boyle/9780062283818?ref=grid-view,
The Chase,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,01 May 2011,384,HarperCollins Publishers Inc,English,0062019694,0062019694,https://www.bookdepository.com/Chase-Lynsay-Sands/9780062019691?ref=grid-view,
The Shadow And The Star,Laura Kinsale,Historical Romance:Historical Romance:Historical Fiction,29 Jun 2005,10,HarperCollins Publishers Inc,English,0380761319,0380761319,https://www.bookdepository.com/Shadow-Star-Laura-Kinsale/9780380761319?ref=grid-view,
Seduced By His Touch,Tracy Anne Warren,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,384,HarperCollins Publishers Inc,English,0061673412,0061673412,https://www.bookdepository.com/Seduced-By-His-Touch-Tracy-Anne-Warren/9780061673412?ref=grid-view,
Four in Hand : The Dissolute Duke,Stephanie Laurens,Historical Romance:Historical Romance,26 Jul 2016,568,Harlequin,English,0373010435,0373010435,https://www.bookdepository.com/Four-Hand-Stephanie-Laurens/9780373010431?ref=grid-view,
All About Love : Number 6 in series,Stephanie Laurens,Historical Romance:Historical Romance,01 Sep 2007,512,Little Brown Book Group,English,0749937211,0749937211,https://www.bookdepository.com/All-About-Love-Stephanie-Laurens/9780749937218?ref=grid-view,
Diana the Huntress,M. C. Beaton,Historical Romance:Historical Romance,15 Mar 2012,240,Little Brown Book Group,English,1849014892,1849014892,https://www.bookdepository.com/Diana-Huntress-M-C-Beaton/9781849014892?ref=grid-view,
Tall Dark and Wicked,Madeline Hunter,Historical Romance:Historical Romance:Historical Fiction,01 Apr 2016,390,Penguin Putnam Inc,English,0515155179,0515155179,https://www.bookdepository.com/Tall-Dark-Wicked-Madeline-Hunter/9780515155174?ref=grid-view,
Angel,Johanna Lindsey,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,03 Apr 2001,403,HarperCollins Publishers Inc,English,0380756285,0380756285,https://www.bookdepository.com/Angel-Johanna-Lindsey/9780380756285?ref=grid-view,
The Woodlanders,Thomas Hardy:Patricia Ingham,Literary Studies: C 1800 To C 1900:Literary Studies: Fiction Novelists & Prose Writers:Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Aug 1998,464,Penguin Books Ltd,English,0140435476,0140435476,https://www.bookdepository.com/Woodlanders-Thomas-Hardy/9780140435474?ref=grid-view,
The Viscount and the Vixen,Lorraine Heath,Historical Romance:Historical Romance,29 Nov 2016,400,HarperCollins Publishers Inc,English,0062391054,0062391054,https://www.bookdepository.com/Viscount-Vixen-Lorraine-Heath/9780062391056?ref=grid-view,
The Firebird,Susanna Kearsley,Thriller Books:Thrillers:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,04 Jun 2013,544,Sourcebooks Landmark,English,140227663X,140227663X,https://www.bookdepository.com/Firebird-Susanna-Kearsley/9781402276637?ref=grid-view,
Importance of Being Wicked,Victoria Alexander,Historical Romance:Historical Romance:Historical Fiction,02 May 2013,426,ZEBRA BOOKS,English,1420117076,1420117076,https://www.bookdepository.com/Importance-Being-Wicked-Victoria-Alexander/9781420117073?ref=grid-view,
The Madonna of the Almonds,Marina Fiorato,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,25 Oct 2012,400,Hodder & Stoughton General Division,English,184854796X,184854796X,https://www.bookdepository.com/Madonna-Almonds-Marina-Fiorato/9781848547964?ref=grid-view,
Just Wicked Enough,Lorraine Heath,Historical Romance:Historical Romance,06 Sep 2007,384,HarperCollins Publishers Inc,English,0061129704,0061129704,https://www.bookdepository.com/Just-Wicked-Enough-Lorraine-Heath/9780061129704?ref=grid-view,
Invincible,Diana Palmer,Westerns:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Jan 2015,295,Harlequin Books,English,0373779496,0373779496,https://www.bookdepository.com/Invincible-Diana-Palmer/9780373779499?ref=grid-view,
The Seduction,Nicole Jordan,Romance:Romance Books:Historical Romance:Historical Romance,02 May 2000,350,Random House USA Inc,English,0449004848,0449004848,https://www.bookdepository.com/Seduction-Nicole-Jordan/9780449004845?ref=grid-view,
Surrender,Pamela Clare,Romance:Romance Books:Historical Romance:Historical Romance,06 Dec 2011,354,Penguin Putnam Inc,English,0425244946,0425244946,https://www.bookdepository.com/Surrender-Pamela-Clare/9780425244944?ref=grid-view,
How to Lose a Bride in One Night,Sophie Jordan,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,01 Aug 2013,384,HarperCollins Publishers Inc,English,0062033018,0062033018,https://www.bookdepository.com/How-Lose-Bride-One-Night-Sophie-Jordan/9780062033017?ref=grid-view,
The Deed,Lynsay Sands,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,05 Sep 2011,384,HarperCollins Publishers Inc,English,0062019708,0062019708,https://www.bookdepository.com/Deed-Lynsay-Sands/9780062019707?ref=grid-view,
McKettrick's Luck,Linda Lael Miller,Westerns:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Dec 2011,377,HarperCollins Publishers,English,037377642X,037377642X,https://www.bookdepository.com/McKettricks-Luck-Linda-Lael-Miller/9780373776429?ref=grid-view,
Something Sinful,Suzanne Enoch,Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,373,HarperCollins Publishers Inc,English,0060842555,0060842555,https://www.bookdepository.com/Something-Sinful-Suzanne-Enoch/9780060842550?ref=grid-view,
One Night with a Prince,Sabrina Jeffries,Romance:Romance Books:Historical Romance:Historical Romance,08 Nov 2012,384,SIMON & SCHUSTER,English,0743477723,0743477723,https://www.bookdepository.com/One-Night-with-Prince-Sabrina-Jeffries/9780743477727?ref=grid-view,
Loving a Lost Lord,Mary Jo Putney,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,01 Apr 2012,352,Kensington Publishing,English,1420128620,1420128620,https://www.bookdepository.com/Loving-Lost-Lord-Mary-Jo-Putney/9781420128628?ref=grid-view,
The Secret History of the Pink Carnation,Lauren Willig,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Jul 2009,432,ALLISON & BUSBY,English,0749007613,0749007613,https://www.bookdepository.com/Secret-History-Pink-Carnation-Lauren-Willig/9780749007614?ref=grid-view,
Rebellion,Nora Roberts,Thriller Books:Thrillers:Romance:Romance Books:Historical Romance:Historical Romance,31 Jan 2017,314,Silhouette Books,English,0373282176,0373282176,https://www.bookdepository.com/Rebellion-Nora-Roberts/9780373282173?ref=grid-view,
The Warrior: A Rouge Historical Romance,Nicole Jordan,Historical Romance:Historical Romance,16 Feb 2012,512,Ebury Publishing,English,0091948819,0091948819,https://www.bookdepository.com/Warrior-Rouge-Historical-Romance-Nicole-Jordan/9780091948818?ref=grid-view,
The Annotated Sense And Sensibility,David M. Shapard,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Jun 2011,784,Random House USA Inc,English,0307390764,0307390764,https://www.bookdepository.com/Annotated-Sense-Sensibility-David-M-Shapard/9780307390769?ref=grid-view,
Dangerous Viscount,Miranda Neville,Romance:Romance Books:Historical Romance:Historical Romance,01 Oct 2010,384,HarperCollins Publishers Inc,English,0061808725,0061808725,https://www.bookdepository.com/Dangerous-Viscount-Miranda-Neville/9780061808722?ref=grid-view,
The Amorous Education of Celia Seaton,Miranda Neville,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,16 Sep 2011,384,HarperCollins Publishers Inc,English,0062023047,0062023047,https://www.bookdepository.com/Amorous-Education-Celia-Seaton-Miranda-Neville/9780062023049?ref=grid-view,
The Lover: A Rouge Historical Romance,Nicole Jordan,Historical Romance:Historical Romance,15 Nov 2012,384,Ebury Publishing,English,0091950309,0091950309,https://www.bookdepository.com/Lover-Rouge-Historical-Romance-Nicole-Jordan/9780091950309?ref=grid-view,
The Runaway Duke,Julie Anne Long,Contemporary Fiction:Historical Romance:Historical Romance,01 Aug 2004,368,Time Warner Trade Publishing,English,0446614254,0446614254,https://www.bookdepository.com/Runaway-Duke-Julie-Anne-Long/9780446614252?ref=grid-view,
The Prince Who Loved Me,Karen Hawkins,Historical Romance:Historical Romance,23 Sep 2014,355,SIMON & SCHUSTER,English,1451685246,1451685246,https://www.bookdepository.com/Prince-Who-Loved-Me-Karen-Hawkins/9781451685244?ref=grid-view,
How To Seduce A Scoundrel,Vicky Dreiling,Romance:Romance Books:Historical Romance:Historical Romance,04 Aug 2011,432,Little Brown & Company,English,0446565385,0446565385,https://www.bookdepository.com/How-Seduce-Scoundrel-Vicky-Dreiling/9780446565387?ref=grid-view,
The Black Pearl : The Morland Dynasty Book 5,Cynthia Harrod-Eagles,Historical Romance:Historical Romance:Sagas:Historical Fiction,23 Jun 1994,416,Little Brown Book Group,English,0751506427,0751506427,https://www.bookdepository.com/Black-Pearl-Cynthia-Harrod-Eagles/9780751506426?ref=grid-view,
All About Passion : Number 7 in series,Stephanie Laurens,Historical Romance:Historical Romance,01 Sep 2007,512,Little Brown Book Group,English,074993722X,074993722X,https://www.bookdepository.com/All-About-Passion-Stephanie-Laurens/9780749937225?ref=grid-view,
My Fair Lover,Nicole Jordan,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,29 Aug 2017,400,Random House USA Inc,English,0553392573,0553392573,https://www.bookdepository.com/My-Fair-Lover-Nicole-Jordan/9780553392579?ref=grid-view,
Untamed,Pamela Clare,Military Fiction:Historical Romance:Historical Romance:Historical Fiction,03 Jan 2012,354,Penguin Putnam Inc,English,0425245810,0425245810,https://www.bookdepository.com/Untamed-Pamela-Clare/9780425245811?ref=grid-view,
Scandalous Liaisons,Sylvia Day,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Aug 2013,368,Kensington Publishing,English,1617730548,1617730548,https://www.bookdepository.com/Scandalous-Liaisons-Sylvia-Day/9781617730542?ref=grid-view,
Thirty Nights with a Highland Husband,Melissa Mayhue,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,26 Jun 2007,384,SIMON & SCHUSTER,English,1416532862,1416532862,https://www.bookdepository.com/Thirty-Nights-with-Highland-Husband-Melissa-Mayhue/9781416532866?ref=grid-view,
Reforming a Rake : With This Ring,Suzanne Enoch,Historical Romance:Historical Romance,29 Jul 2014,384,HarperCollins Publishers Inc,English,0380809168,0380809168,https://www.bookdepository.com/Reforming-Rake-Suzanne-Enoch/9780380809165?ref=grid-view,
The Outcast : The Morland Dynasty Book 21,Cynthia Harrod-Eagles,Historical Romance:Historical Romance:Sagas:Historical Fiction,06 May 1999,608,Little Brown Book Group,English,0751523178,0751523178,https://www.bookdepository.com/Outcast-Cynthia-Harrod-Eagles/9780751523171?ref=grid-view,
No Earls Allowed,Shana Galen,Historical Romance:Historical Romance,06 Mar 2018,384,Sourcebooks Inc,English,149263901X,149263901X,https://www.bookdepository.com/No-Earls-Allowed-Shana-Galen/9781492639015?ref=grid-view,
A Wicked Lord At The Wedding A,Jillian Hunter,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,15 Mar 2010,347,Random House USA Inc,English,0345503945,0345503945,https://www.bookdepository.com/Wicked-Lord-At-Wedding-Jillian-Hunter/9780345503947?ref=grid-view,
The Wicked Ways of a Duke,Laura Lee Guhrke,Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,384,HarperCollins Publishers Inc,English,0061143618,0061143618,https://www.bookdepository.com/Wicked-Ways-Duke-Laura-Lee-Guhrke/9780061143618?ref=grid-view,
Lair of the Lion,Christine Feehan,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,04 Oct 2012,416,Little Brown Book Group,English,0749958456,0749958456,https://www.bookdepository.com/Lair-Lion-Christine-Feehan/9780749958459?ref=grid-view,
Evelina,Frances Burney:Margaret Doody,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,18 Feb 2008,560,Penguin Books Ltd,English,0140433473,0140433473,https://www.bookdepository.com/Evelina-Frances-Burney/9780140433470?ref=grid-view,
The Chieftain : Number 4 in series,Margaret Mallory,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,28 Mar 2013,432,Little Brown & Company,English,0446583111,0446583111,https://www.bookdepository.com/Chieftain-Margaret-Mallory/9780446583114?ref=grid-view,
When the Marquess Falls,Lorraine Heath,Historical Romance:Historical Romance,18 Apr 2017,144,AVON BOOKS,English,0062496883,0062496883,https://www.bookdepository.com/When-Marquess-Falls-Lorraine-Heath/9780062496881?ref=grid-view,
Mother's Day on Coronation Street,Maggie Sullivan,Historical Romance:Historical Romance:Sagas,08 Feb 2018,384,HarperCollins Publishers,English,0008256535,0008256535,https://www.bookdepository.com/Mothers-Day-on-Coronation-Street-Maggie-Sullivan/9780008256531?ref=grid-view,
When the Marquess Met His Match,Laura Lee Guhrke,Historical Romance:Historical Romance,29 Oct 2013,384,HarperCollins Publishers Inc,English,006211817X,006211817X,https://www.bookdepository.com/When-Marquess-Met-His-Match-Laura-Lee-Guhrke/9780062118172?ref=grid-view,
Beauty's Kingdom : A Novel in the Sleeping Beauty Series,A N Roquelaure,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,19 Apr 2016,434,Penguin Books,English,0143108212,0143108212,https://www.bookdepository.com/Beautys-Kingdom-N-Roquelaure/9780143108214?ref=grid-view,
Evergreen Falls,Kimberley Freeman,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,04 Aug 2015,392,Touchstone Books,English,1476799903,1476799903,https://www.bookdepository.com/Evergreen-Falls-Kimberley-Freeman/9781476799902?ref=grid-view,
The Marquis And I,Ella Quinn,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,27 Feb 2018,320,Kensington Publishing,English,1420145169,1420145169,https://www.bookdepository.com/Marquis-I-Ella-Quinn/9781420145168?ref=grid-view,
Surrender to Me,Sophie Jordan,Romance:Romance Books:Historical Romance:Historical Romance,07 Aug 2008,384,HarperCollins Publishers Inc,English,006133927X,006133927X,https://www.bookdepository.com/Surrender-Me-Sophie-Jordan/9780061339271?ref=grid-view,
Velvet Promise,Jude Deveraux,Contemporary Fiction:Historical Romance:Historical Romance,01 Jan 1991,320,SIMON & SCHUSTER,English,0671739743,0671739743,https://www.bookdepository.com/Velvet-Promise-Jude-Deveraux/9780671739744?ref=grid-view,
The Headmistress of Rosemere,Sarah E. Ladd,Fiction Books:Historical Romance:Historical Romance:Historical Fiction:Religious & Spiritual Fiction,07 Jan 2014,320,Thomas Nelson Publishers,English,1401688365,1401688365,https://www.bookdepository.com/Headmistress-Rosemere-Sarah-E-Ladd/9781401688363?ref=grid-view,
Something About Emmaline,Elizabeth Boyle,Historical Romance:Historical Romance,29 Aug 2011,384,HarperCollins Publishers Inc,English,0060549319,0060549319,https://www.bookdepository.com/Something-About-Emmaline-Elizabeth-Boyle/9780060549312?ref=grid-view,
The Annotated Northanger Abbey,David M. Shapard:Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,16 Oct 2013,684,Random House USA Inc,English,0307390802,0307390802,https://www.bookdepository.com/Annotated-Northanger-Abbey-David-M-Shapard/9780307390806?ref=grid-view,
The Paris Secret,Karen Swan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Jul 2016,416,Pan MacMillan,English,1447280695,1447280695,https://www.bookdepository.com/Paris-Secret-Karen-Swan/9781447280699?ref=grid-view,
The Last Secret of the Deverills,Santa Montefiore,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,13 Jul 2017,464,Simon & Schuster Ltd,English,1471135926,1471135926,https://www.bookdepository.com/Last-Secret-Deverills-Santa-Montefiore/9781471135927?ref=grid-view,
The Rogue Hunter,Lynsay Sands,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jul 2009,384,HarperCollins Publishers Inc,English,0061474290,0061474290,https://www.bookdepository.com/Rogue-Hunter-Lynsay-Sands/9780061474293?ref=grid-view,
On The Island,Tracey Garvis Graves,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Jul 2012,368,Penguin Books Ltd,English,1405910216,1405910216,https://www.bookdepository.com/On-Island-Tracey-Garvis-Graves/9781405910217?ref=grid-view,
A Sea Change,Veronica Henry,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Feb 2013,96,Orion Publishing Co,English,140910401X,140910401X,https://www.bookdepository.com/Sea-Change-Veronica-Henry/9781409104018?ref=grid-view,
Lover Unleashed : Number 9 in series,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Nov 2011,592,Little Brown Book Group,English,0749955651,0749955651,https://www.bookdepository.com/Lover-Unleashed-J-R-Ward/9780749955656?ref=grid-view,
