Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Kiss Me Like This,Bella Andre,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Academic;College,June 11th 2014,300,,,English,None,https://www.goodreads.com/book/show/21248483-kiss-me-like-this,
An Involuntary Spark,V.C. Archerly,Romance;Novella;Romance;Interracial Romance,March 19th 2013,76,Amazon Digital Services; Inc.,,English,None,https://www.goodreads.com/book/show/21527658-an-involuntary-spark,
Lily of the Valley,Sarah Daltry,New Adult;Romance;Adult Fiction;Erotica;Romance;Contemporary Romance,September 2nd 2013,408,Createspace,,,9781492216698,https://www.goodreads.com/book/show/18501708-lily-of-the-valley,
The Seduction of Samantha Bowman,Nancy    Miller,Thriller;Mystery Thriller,June 7th 2013,286,Nancy Miller,,B00D9WCNTW,None,https://www.goodreads.com/book/show/21083066-the-seduction-of-samantha-bowman,
Irrepressible You,Georgina Penney,Contemporary;Womens Fiction;Chick Lit;Romance;Romance;Contemporary Romance;Humor;Funny;Fiction;Humor,February 14th 2014,280,Penguin Books,None,,9780857977694,https://www.goodreads.com/book/show/20744758-irrepressible-you,
Learning To Let Go,Cynthia P. O'Neill,New Adult;Romance,February 7th 2014,278,,,English,None,https://www.goodreads.com/book/show/18802141-learning-to-let-go,
The Belgrave Daughter,Zara Hoffman,Romance;Fantasy;Paranormal;Fantasy;Paranormal;Witches;Young Adult;Fiction;Fantasy;Magic,November 13th 2013,166,ZH Press,English,0989629406,9780989629409,https://www.goodreads.com/book/show/18467181-the-belgrave-daughter,
Land of My Dreams,Norma Gail,Christian;Romance;Christian Fiction;Romance;Contemporary Romance;Fiction,,380,Lighthouse Publishing of the Carolinas,None,,9781941103173,https://www.goodreads.com/book/show/20887842-land-of-my-dreams,
The Wilde Women,Paula Wall,Womens Fiction;Chick Lit;Fiction;Historical;Historical Fiction;American;Southern;Romance,March 1st 2007,310,Atria Books,English,0743496213,9780743496216,https://www.goodreads.com/book/show/594648.The_Wilde_Women,
Robin: Lady of Legend (The Classic Adventures of the Girl Who Became Robin Hood),R.M. ArceJaeger,Fantasy;Historical;Historical Fiction;Young Adult;Romance;Historical,January 1st 2012,382,Platypus Press,None,9780983731733,None,https://www.goodreads.com/book/show/13410938-robin,
Vampires of the Chesapeake: Kian MacTiernan (Vampires of the Chesapeake #1),D.A. Rhine,,,224,,None,B004VNVJ9I,None,https://www.goodreads.com/book/show/11362293-vampires-of-the-chesapeake,
The Last Encore,Julia  Butler,Romance;Contemporary;Romance;Contemporary Romance,July 1st 2014,280,Julia Butler,None,,9780991150991,https://www.goodreads.com/book/show/22351798-the-last-encore,
The Forgotten Child,Lorhainne Eckhart,Romance;Fiction;Romance;Contemporary Romance;Contemporary;Westerns,November 6th 2011,216,,;,English,None,https://www.goodreads.com/book/show/12946320-the-forgotten-child,
Between Henry & Clinton; A Novel,Francine Richetti,,May 23rd 2014,300,,None,English,None,https://www.goodreads.com/book/show/22306819-between-henry-clinton-a-novel,
Pack of Lies,Lucy Felthouse,Fantasy;Paranormal;Adult Fiction;Erotica;Romance;Paranormal Romance;Paranormal;Shapeshifters;Romance;M M Romance;Shapeshifters;Werewolves,August 8th 2014,None,Ellora's Cave Publishing,,,9781419993022,https://www.goodreads.com/book/show/22756241-pack-of-lies,
A Deal with God: The Power of One,Michael Haden,Christian;Christian Fiction;Fiction;Romance;Marriage,November 17th 2011,344,Denco Media,None,,9780984747405,https://www.goodreads.com/book/show/13173166-a-deal-with-god,
The Publicist,Christina George,Romance;Womens Fiction;Chick Lit;Contemporary;Business;Amazon;Romance;Contemporary Romance;Fiction;Adult;New York;Did Not Finish,November 2012,226,Christina George,,,9781478247524,https://www.goodreads.com/book/show/16088697-the-publicist,
Made by Design,J.L.  Myers,Romance;Paranormal Romance;Romance,July 29th 2014,379,J.L. Myers,,English,None,https://www.goodreads.com/book/show/22845529-made-by-design,
Saving Toby,Suzanne McKenna Link,New Adult;Romance;Contemporary;Romance;Contemporary Romance,January 18th 2014,350,,None,,None,https://www.goodreads.com/book/show/20873590-saving-toby,
Rewind,Susan  Ward,New Adult;Romance;Contemporary Romance;Romance;Novella,August 4th 2014,57,Amazon Digital Services,,B00MG2QJBE,None,https://www.goodreads.com/book/show/22880269-rewind,
Captured,Willow Danes,Science Fiction;Aliens;Science Fiction;Romance;Romance;Science Fiction Romance;Fantasy;Paranormal,August 5th 2014,218,Here Be Dragons,,English,None,https://www.goodreads.com/book/show/22883909-captured,
Loving Therese,Ju Ephraime,,,None,ENVISION Business & Computer School Publishing,None,,None,https://www.goodreads.com/book/show/20899526-loving-therese,
The Charm Necklace,Lauren Rosolino,,June 11th 2014,433,Lauren M Rosolino Inc,,,9781499377552,https://www.goodreads.com/book/show/22472446-the-charm-necklace,
Somewhere on Maui,Toby Neal,Romance;Romance;Contemporary Romance,November 10th 2013,196,Neal,,English,None,https://www.goodreads.com/book/show/18778622-somewhere-on-maui,
War - Horseman of the Apocalypse (Love Blooms Eternal),Jeff Fuell,,February 24th 2013,194,Createspace Independent Publishing Platform,None,,9781482348316,https://www.goodreads.com/book/show/17469607-war---horseman-of-the-apocalypse,
Captured Miracle,Alannah Carbonneau,Dark;Adult Fiction;Erotica;Romance;Contemporary,May 29th 2014,206,,,English,None,https://www.goodreads.com/book/show/23005534-captured-miracle,
The Arrival,Pat McCraw,Fantasy;Fantasy;Magic;Glbt;Gay,August 14th 2014,222,Createspace,English,1500845892,9781500845896,https://www.goodreads.com/book/show/22951691-the-arrival,
The Immortal Collection,Eva García Sáenz;Lilit Zekulin Thwaites,Romance;Fantasy;Fantasy;Urban Fantasy;Historical;Historical Fiction;Fantasy;Paranormal;Fiction,April 8th 2014,670,AmazonCrossing,,,9781477849798,https://www.goodreads.com/book/show/18640815-the-immortal-collection,
Four Days with Hemingway's Ghost,Tom Winton,Fiction;Historical;Historical Fiction;Fantasy;Paranormal,June 26th 2012,142,Tom Winton,None,English,None,https://www.goodreads.com/book/show/15743686-four-days-with-hemingway-s-ghost,
Werewolf Nights,Mari Hamill,Romance;Fantasy;Shapeshifters;Werewolves;Horror;Fantasy;Paranormal;Adult;Romance;Paranormal Romance,July 15th 2014,252,Dog Ear Publishing,None,English,None,https://www.goodreads.com/book/show/22845130-werewolf-nights,
In the Midnight Rain,Ruth Wind;Barbara Samuel,Romance;Romance;Contemporary Romance;Mystery;Contemporary,May 2nd 2000,416,HarperTorch,English,0061030120,9780061030123,https://www.goodreads.com/book/show/602140.In_the_Midnight_Rain,
Overseas,Beatriz Williams,Romance;Science Fiction;Time Travel;Historical;Historical Fiction;Fiction;Womens Fiction;Chick Lit;Fantasy;Historical,May 10th 2012,464,G.P. Putnam's Sons,English,0399157646,9780399157646,https://www.goodreads.com/book/show/13059477-overseas,
Curveball,Teresa Michaels,Romance;Suspense;Romance;Romantic Suspense;Mystery;Sports and Games;Sports,September 23rd 2014,412,CreateSpace,,,9781503010789,https://www.goodreads.com/book/show/23264634-curveball,
Branded,Lora Ann,Romance;Suspense;Adult Fiction;Erotica;Adult,August 26th 2014,279,The Greatest of These; LLC,,English,None,https://www.goodreads.com/book/show/21798847-branded,
Finding Serenity,Eden Butler,New Adult;Romance;Romance;Contemporary Romance,April 10th 2014,286,CreateSpace,English,1497531373,9781497531376,https://www.goodreads.com/book/show/21916343-finding-serenity,
Grays Hill,Barbara T. Cerny,Romance;Historical Romance;Romance,September 10th 2010,280,Strategic Book Publishing & Rights Agency; LLC,English,1609113039,9781609113032,https://www.goodreads.com/book/show/14502684-grays-hill,
Sacred Waters,Lydia Michaels,Romance;Contemporary Romance;Romance;Contemporary;New Adult,July 3rd 2013,237,Secret Cravings Publishing,,English,None,https://www.goodreads.com/book/show/18177055-sacred-waters,
In the Shadow of Angels,Fanny Lee Savage,Fantasy;Paranormal,September 12th 2014,316,Fanny Lee Savage,,English,None,https://www.goodreads.com/book/show/23210333-in-the-shadow-of-angels,
Time Was - A romantic comedy ..... with a kink,Paul     Adams,Romance,May 18th 2014,252,Halcyon Publishing,None,,None,https://www.goodreads.com/book/show/22174557-time-was---a-romantic-comedy-with-a-kink,
Kamadeva: The God of Desire,Anuja Chandramouli,Fantasy;Mythology;Fiction;Fantasy,August 2014,326,Rupa Publications India,English,8129134594,9788129134592,https://www.goodreads.com/book/show/22724133-kamadeva,
Hart Attack,Cristin Harber,Romance;Romantic Suspense;War;Military;Romance;Romance;Contemporary Romance,November 18th 2014,268,Mill Creek Press,None,,None,https://www.goodreads.com/book/show/20877620-hart-attack,
Amelia,Bernadette Marie,Romance;Contemporary Romance;Romance,July 31st 2014,None,5 Prince Publishing,,English,None,https://www.goodreads.com/book/show/22755535-amelia,
Bitter Candy,Lily Ableman,Young Adult;Romance,September 16th 2014,302,Lily Ableman,;,English,None,https://www.goodreads.com/book/show/22551342-bitter-candy,
Island Roulette,Emily   Smith,Short Stories,November 15th 2014,None,,None,English,None,https://www.goodreads.com/book/show/23565649-island-roulette,
The Runaway Jury,John Grisham,Fiction;Thriller;Mystery;Thriller;Legal Thriller;Suspense,April 25th 2006,358,Delta,English,0385339690,9780385339698,https://www.goodreads.com/book/show/24192.The_Runaway_Jury,
Darker Water,Lauren Stewart,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Humor;Funny,October 3rd 2014,None,Off the Hook Publishing,,English,None,https://www.goodreads.com/book/show/18748816-darker-water,
Warrior's Surrender,Elizabeth Ellen Carter,Romance;Historical Romance;Romance;Historical;Historical;Medieval,November 7th 2014,352,Etopia Press,None,English,None,https://www.goodreads.com/book/show/23510264-warrior-s-surrender,
Rival Hearts,Natalie Decker,Young Adult;Romance;Sports and Games;Sports;Contemporary;Contemporary Romance;Sports Romance,December 23rd 2014,277,Swoon Romance,None,,None,https://www.goodreads.com/book/show/23349609-rival-hearts,
Left to Chance,C.D. Taylor,Romance;Fiction;Romance;Contemporary Romance,February 19th 2013,238,Booktrope,,,9781620156209,https://www.goodreads.com/book/show/17403238-left-to-chance,
Internal  Conflict,E.A. Stripling,Contemporary,December 7th 2014,288,,,English,None,https://www.goodreads.com/book/show/23728241-internal-conflict,
Paradox Love,Dorothy Gravelle,Fantasy;Romance;Fantasy;Paranormal;Animals;Young Adult,December 18th 2014,248,Diego Beach Publishing,None,English,None,https://www.goodreads.com/book/show/23944776-paradox-love,
Sealed Fate Savage Passion,Patricia Lynndail,Romance;Historical Romance;Historical;Historical Fiction,September 5th 2014,536,Authorhouse,None,,9781496934116,https://www.goodreads.com/book/show/23223546-sealed-fate-savage-passion,
Troy: Fianna Fáil: Soldiers of Destiny,S. Kline,Romance;Dark,November 7th 2014,384,S. Kline,,,9781503198494,https://www.goodreads.com/book/show/23524377-troy,
Sweet Confections,Danyelle Ferguson,Romance;Romance;Contemporary Romance;Contemporary;Mystery,April 8th 2014,259,Wonderstruck Books,,,9780615969695,https://www.goodreads.com/book/show/20783201-sweet-confections,
Fallen Angel: A Mafia Romance - Part I,Alisa Anderson;Cameron Skye,Romance;Novella;Adult Fiction;Erotica,September 24th 2014,63,iceKitty Publishing,,English,None,https://www.goodreads.com/book/show/23323013-fallen-angel,
The Vagabond Vicar,Charlotte Brentwood,Historical;Historical Fiction;Romance;Historical;Regency;Romance;Historical Romance;Historical;Fiction,October 15th 2014,None,,None,9780473302689,None,https://www.goodreads.com/book/show/23432706-the-vagabond-vicar,
Legal Ease,Lori Ryan,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Suspense,April 18th 2013,376,Cara Shannon,,English,None,https://www.goodreads.com/book/show/17790534-legal-ease,
The Last Love of Eleanor Sands,Gary Paul Corcoran,,November 5th 2014,366,Stargazer Press,None,English,None,https://www.goodreads.com/book/show/23603931-the-last-love-of-eleanor-sands,
Rock Notes,Renee Lee Fisher,Romance;Contemporary Romance;Music;Contemporary;Romance,May 30th 2013,274,Createspace Independent Publishing Platform,,,9781490383361,https://www.goodreads.com/book/show/18202092-rock-notes,
Beach Bum Billionaire; Book Two,Jill Lang,Romance,January 9th 2015,121,Lang Publishing,,English,None,https://www.goodreads.com/book/show/24443961-beach-bum-billionaire-book-two,
Soundings: Water Elemental,Janine Donoho,Romance;Contemporary;Fantasy,February 2015,None,Booktrope Publishing,,,9781620157114,https://www.goodreads.com/book/show/24394006-soundings,
Compulsion,Martina Boone,Young Adult;Fantasy;Fantasy;Paranormal;Romance,October 28th 2014,433,Simon Pulse,English,1481411225,9781481411226,https://www.goodreads.com/book/show/20759498-compulsion,
All This Time,Kim Cox,,January 24th 2015,206,Kim Cox Books,English,150322807X,9781503228078,https://www.goodreads.com/book/show/24676850-all-this-time,
After the Rain,Jo Watson,Romance;Romance;Contemporary Romance;Contemporary;New Adult,August 19th 2014,257,Jo Watson,,English,None,https://www.goodreads.com/book/show/23010500-after-the-rain,
Darker Shades of Obsession,J.R.  King,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Erotic Romance,December 31st 2014,674,Amazon Digital Services,,English,None,https://www.goodreads.com/book/show/24242968-darker-shades-of-obsession,
Rory's Love,Donna Butler,,November 19th 2014,197,Amazon,None,English,None,https://www.goodreads.com/book/show/23590796-rory-s-love,
Under The Cypress Tree,Ashleigh Z.,Romance;Contemporary,February 15th 2015,125,Kindle,,English,None,https://www.goodreads.com/book/show/24940536-under-the-cypress-tree,
Saving Ella,Kirsty Dallas,Romance;Sociology;Abuse;New Adult;Contemporary;Dark,March 2014,259,,,English,None,https://www.goodreads.com/book/show/20942570-saving-ella,
Tyburn,Jessica Cale,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction;Gothic,December 8th 2014,344,Liquid Silver Books,,B00PQV6H9Q,None,https://www.goodreads.com/book/show/23485599-tyburn,
Fire & Water,Betsy Graziani Fasbinder,Romance;Fiction,February 14th 2013,416,She Writes Press,,,9781938314148,https://www.goodreads.com/book/show/17249227-fire-water,
Your Love Was All I Had!,Kaushal Jha,Romance,November 28th 2014,176,Kiran Publishers,None,English,None,https://www.goodreads.com/book/show/23565008-your-love-was-all-i-had,
Fading Away,Dannielle Wicks,Young Adult;Romance,April 7th 2015,280,Limitless Publishing,,,9781680580884,https://www.goodreads.com/book/show/25103677-fading-away,
The Shadows,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,March 31st 2015,590,Signet,,B00LTZQOZA,None,https://www.goodreads.com/book/show/21849362-the-shadows,
Pursuit For Lucidity,Marie Jem,Romance,January 11th 2014,438,,None,,None,https://www.goodreads.com/book/show/22801346-pursuit-for-lucidity,
Tailing Her,Celia Kyle,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Shapeshifters,March 8th 2015,None,Summerhouse Publishing,,,9781680399912,https://www.goodreads.com/book/show/25030603-tailing-her,
All Fired Up,Morticia Knight,Romance;M M Romance;Contemporary;Romance;Emergency Services;Firefighters,September 5th 2014,160,Totally Bound,,English,None,https://www.goodreads.com/book/show/22886530-all-fired-up,
Broken Homes & Gardens,Rebecca Kelley,Fiction;Romance;Womens Fiction;Chick Lit;Womens Fiction,April 28th 2015,268,Blank Slate Press,None,,9780991305889,https://www.goodreads.com/book/show/23585086-broken-homes-gardens,
Bound by the Summer Prince,Mistral Dawn,Fantasy;Adult Fiction;Erotica;Romance;Paranormal Romance,February 25th 2015,286,Mistral Dawn,,English,None,https://www.goodreads.com/book/show/25027872-bound-by-the-summer-prince,
The Golding,Sonya Deanna Terry,Science Fiction;Time Travel;Fantasy,December 24th 2014,500,Sonya D Terry,,B00RF4A9YG,None,https://www.goodreads.com/book/show/24107618-the-golding,
Take a Piece of My Heart,Diane Rose Duffy,Romance;Romance;Contemporary Romance;Womens Fiction;Womens Fiction;Chick Lit;Young Adult,September 29th 2014,248,CreateSpace Independent Publishing Platform,None,,9781501002670,https://www.goodreads.com/book/show/23287407-take-a-piece-of-my-heart,
A Tender Touch (Donnelley Brother's Book Four,Alannah Carbonneau,,January 6th 2015,212,,None,,None,https://www.goodreads.com/book/show/24149818-a-tender-touch-donnelley-brother-s-book-four,
Stepbrother Got Me Pregnant,Ethan Cox,Romance,April 6th 2015,22,Forbidden Pregnant Romance,,B00VSB8CZK,None,https://www.goodreads.com/book/show/25318398-stepbrother-got-me-pregnant,
Love at Second Life,Rachael Ruble,,February 5th 2015,185,Light Switch Press,None,English,None,https://www.goodreads.com/book/show/24907464-love-at-second-life,
Return to Me,Jill Sanders,Romance;Contemporary Romance;Romance,March 31st 2015,276,Jill Sanders,,,9781942896012,https://www.goodreads.com/book/show/24968829-return-to-me,
Ella's Love,Jasmine  Lee,Romance;Contemporary;Fiction,February 4th 2015,150,Jasmine Lee,None,English,None,https://www.goodreads.com/book/show/23159652-ella-s-love,
Clipped by Love,Toni Aleo,Sports and Games;Sports;Romance;New Adult;Academic;College;Sports;Hockey;Contemporary Romance;Sports Romance,April 27th 2015,None,,,English,None,https://www.goodreads.com/book/show/23172090-clipped-by-love,
The Newcomer,Robyn Carr,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Womens Fiction;Chick Lit,June 25th 2013,364,Harlequin MIRA,,B00BED26QS,None,https://www.goodreads.com/book/show/17666905-the-newcomer,
The Huntress of Thornbeck Forest,Melanie Dickerson,Historical;Historical Fiction;Romance;Fantasy;Christian Fiction;Young Adult;Christian;Historical,May 12th 2015,306,Thomas Nelson,,,9780718026240,https://www.goodreads.com/book/show/22574726-the-huntress-of-thornbeck-forest,
All Yours,Violette Paradis,,June 2014,64,Paradis Erotica,,English,None,https://www.goodreads.com/book/show/22670272-all-yours,
السيدة خديجة أم المؤمنين,أحمد محمد صقر,Inspirational;Religion;Islam;Spirituality;Historical,,142,وزارة التربية و التعليم - قطاع الكتب - مصر,None,None,None,https://www.goodreads.com/book/show/23199351,
A Guest At The Ranch,Vivian Sinclair,Contemporary,May 2nd 2015,154,East Hill Books,None,English,None,https://www.goodreads.com/book/show/25489740-a-guest-at-the-ranch,
Blame it on the Kiss,Robin Bielman,Romance;Romance;Contemporary Romance;Contemporary,June 9th 2015,256,Entangled Publishing: Lovestruck,,1943336342,9781943336340,https://www.goodreads.com/book/show/25562636-blame-it-on-the-kiss,
Hello; Privet! #1 : Hello/Привет,Maria Malonzo,Sports and Games;Sports;New Adult;Contemporary;Romance;Contemporary Romance,June 4th 2015,641,Paper Street Press Ltd.,None,,None,https://www.goodreads.com/book/show/25573952-hello-privet-1,
A New Dawn,Helena Winters,,March 28th 2015,220,Amazon,None,English,None,https://www.goodreads.com/book/show/25620492-a-new-dawn,
The Tycoon's Red Hot Marriage Merger,Christine Glover,Novella;Romance;Contemporary,June 3rd 2015,151,Christine Glover,English,1511924926,9781511924924,https://www.goodreads.com/book/show/25569502-the-tycoon-s-red-hot-marriage-merger,
A Man of Character,Margaret Locke,Romance;Womens Fiction;Chick Lit;Contemporary;Romance;Contemporary Romance;Fantasy;Romance;Paranormal Romance;Fantasy;Magic,May 26th 2015,334,Locked On Love Publishing,English,0996317015,9780996317016,https://www.goodreads.com/book/show/25535077-a-man-of-character,
A Plain and Simple Truth,Jane Emerssen,,June 25th 2015,512,JayStone Publications,None,English,None,https://www.goodreads.com/book/show/25532324-a-plain-and-simple-truth,
Her Lifeline,Danica Chandler,War;Military;Romance;Romantic Suspense,December 21st 2014,137,,None,English,None,https://www.goodreads.com/book/show/24001777-her-lifeline,
A Gateway to Hope,E.C. Jackson,Romance;Womens Fiction;Did Not Finish,June 19th 2015,294,E. C. Jackson,None,,9780996181228,https://www.goodreads.com/book/show/25855637-a-gateway-to-hope,
The Collar Duet,Alexandra Iff,,April 18th 2015,660,,None,English,None,https://www.goodreads.com/book/show/25321126-the-collar-duet,
A Taste Of Country,Vicki Green,Romance;Contemporary Romance;Did Not Finish;Romance,,None,Vicki Green,None,,None,https://www.goodreads.com/book/show/24473304-a-taste-of-country,
Tight Spiral,Michael J.  Gill,Sports and Games;Sports;Romance;Academic;College,January 3rd 2014,398,Troubador Publishing,,,9781783063000,https://www.goodreads.com/book/show/24499094-tight-spiral,
Ethan Frome,Edith Wharton;Anita Shreve,Classics;Fiction;Literature;Academic;School,June 1st 2000,176,Signet Classics,English,0451527666,9780451527660,https://www.goodreads.com/book/show/297442.Ethan_Frome,
Sinners & Saints,Chelsea Ballinger,New Adult;Romance;Young Adult,June 30th 2015,358,Chelsea Ballinger,,English,None,https://www.goodreads.com/book/show/25833508-sinners-saints,
Not You It's Me,Julie   Johnson,Romance;Romance;Contemporary Romance;New Adult;Contemporary;Humor;Funny;Did Not Finish,July 7th 2015,None,Julie Johnson,,English,None,https://www.goodreads.com/book/show/25567418-not-you-it-s-me,
Jewell,Tina DeSalvo,Romance,June 23rd 2015,398,Tina DeSalvo,,,9780996075022,https://www.goodreads.com/book/show/25947330-jewell,
Within a Captain's Hold,Lisa A. Olech,Adventure;Pirates;Romance;Historical Romance;Romance;Historical;Historical Fiction,November 24th 2015,None,Lyrical Press,,English,None,https://www.goodreads.com/book/show/25109923-within-a-captain-s-hold,
Jemima J,Jane Green,Womens Fiction;Chick Lit;Romance;Fiction;Adult,June 5th 2001,373,Broadway Books,English,0767905180,9780767905183,https://www.goodreads.com/book/show/227941.Jemima_J,
Dane (HUNKS; #1),Michelle Hughes,Erotica;Menage;Adult Fiction;Erotica;Romance,September 1st 2015,250,Tears of Crimson Publishing,None,,9781515359715,https://www.goodreads.com/book/show/26040737-dane,
Finding Love In The Sweet Life: A Missing Ingredient Romance Novel,Diann Dean,,July 17th 2015,225,,None,English,None,https://www.goodreads.com/book/show/25994761-finding-love-in-the-sweet-life,
Evanthia's Gift,Effie Kammenou,Cultural;Greece,August 7th 2015,559,Effie Kammenou,,English,None,https://www.goodreads.com/book/show/26069535-evanthia-s-gift,
How to Lose a Bachelor,Anna Banks,Romance;Contemporary;Romance;Contemporary Romance;Adult;Womens Fiction;Chick Lit,November 9th 2015,256,Entangled Publishing; LLC (Bliss),None,None,None,https://www.goodreads.com/book/show/25833031-how-to-lose-a-bachelor,
Necessary Risk,Tara Wyatt,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Suspense;Contemporary;Fiction;Did Not Finish,February 23rd 2016,384,Forever,,,9781455590278,https://www.goodreads.com/book/show/25711877-necessary-risk,
Unexpected Love,Isabel Curtis,Romance,September 5th 2015,85,,,English,None,https://www.goodreads.com/book/show/26240757-unexpected-love,
The Seacrest,Aaron Paul Lazar,Romance;Romance;Contemporary Romance;Mystery;Contemporary;Romance;Romantic Suspense,October 20th 2013,286,,,B00G1TDBRI,None,https://www.goodreads.com/book/show/18709806-the-seacrest,
Shadows on the Nile,Kate Furnivall,Historical;Historical Fiction;Mystery;Fiction;Historical;Northern Africa;Egypt;Romance;Womens Fiction;Chick Lit,October 1st 2013,448,Berkley,,,9780425265086,https://www.goodreads.com/book/show/17165591-shadows-on-the-nile,
Room 702,Paloma Aínsa;Kit Maude,Womens Fiction;Chick Lit;Romance;Contemporary;Fiction,August 18th 2015,306,AmazonCrossing,None,,9781503945838,https://www.goodreads.com/book/show/25217749-room-702,
To See Clearly,Susan Monday;Mary Anthony,,April 18th 2013,356,Visionary Novels,None,,9780983565413,https://www.goodreads.com/book/show/17987781-to-see-clearly,
Corazón Salvaje,Caridad Bravo Adams,Romance;Romance;Historical Romance;European Literature;Spanish Literature;Historical;Historical;Historical Fiction,,160,,Spanish,9681326202,9789681326203,https://www.goodreads.com/book/show/3181151-coraz-n-salvaje,
Angel to Butterfly: Golden Doll,B.B. Blaque,Romance;Erotic Romance,September 29th 2015,394,B.B. Blaque,None,English,None,https://www.goodreads.com/book/show/26809005-angel-to-butterfly,
Bachelorette for Sale,Gail Chianese,Romance;Romance;Contemporary Romance;Contemporary,June 23rd 2015,278,Lyrical Shine,,,9781601834058,https://www.goodreads.com/book/show/25216217-bachelorette-for-sale,
Clipped Wings,Helena Hunting,New Adult;Romance;Contemporary;Romance;Contemporary Romance,March 4th 2014,391,Gallery Books,,,9781476764290,https://www.goodreads.com/book/show/18344534-clipped-wings,
Mind Cuffed: Eight Erotic Fantasies Unlocked,Bhairavi Sharma,,September 18th 2015,201,,None,English,None,https://www.goodreads.com/book/show/26708471-mind-cuffed,
Wild Cards,R.C. Stephens,Dark;Sociology;Abuse;Romance;Contemporary Romance,October 7th 2015,310,,None,,None,https://www.goodreads.com/book/show/24376435-wild-cards,
Penthouse Prince,Virginia Nelson,Romance;Romance;Contemporary Romance;Contemporary;Adult,February 9th 2015,250,Entangled: Indulgence,,,9781633752047,https://www.goodreads.com/book/show/24615272-penthouse-prince,
Recall (Anima & Animus),Toni  Barca,Adult Fiction;Erotica,May 16th 2014,432,Soaring Eagle Books,None,English,None,https://www.goodreads.com/book/show/22639796-recall,
Mr Darcy falls in Love,Noe,,August 7th 2013,250,CreateSpace,None,,9781490415796,https://www.goodreads.com/book/show/18304026-mr-darcy-falls-in-love,
Organic Chemistry [with WebConnect],L.G. Wade Jr.,Science;Science;Chemistry;Nonfiction;Reference;Unfinished,April 1st 2006,0,Pearson Prentice Hall,English,0132399881,9780132399883,https://www.goodreads.com/book/show/2618558-organic-chemistry-with-webconnect,
Forbidden Forest,Tenaya Jayne,Romance;Paranormal Romance;Fantasy;Magic;Fairies;Fae;Fantasy;Urban Fantasy;Paranormal;Vampires;Paranormal;Shapeshifters;Fantasy,October 13th 2012,234,Cold Fire Publishing LLC,English,0988275708,9780988275706,https://www.goodreads.com/book/show/15995396-forbidden-forest,
Atlantis On the Shores of Forever,Jennifer McKeithen,Fantasy;Historical;Historical Fiction,September 29th 2015,392,Createspace Independent Publishing Platform,,,9781516946297,https://www.goodreads.com/book/show/26831034-atlantis-on-the-shores-of-forever,
Madness and Wonder (The Wonder Series #1),R.R. Surbier,,June 12th 2015,430,,None,English,None,https://www.goodreads.com/book/show/25759675-madness-and-wonder,
Hikari Okami: Kitsune Series,Lolah Runda,Historical;Historical Fiction;Literature;Asian Literature,August 27th 2015,36,Lolah Runda,English,1517242002,9781517242008,https://www.goodreads.com/book/show/26255266-hikari-okami,
A Carpet of Purple Flowers,Tracey-anne McCartney,Fantasy;Romance;Science Fiction Fantasy,October 17th 2015,360,Urbane Publications,None,,9781910692219,https://www.goodreads.com/book/show/25339089-a-carpet-of-purple-flowers,
Fingersmith,Sarah Waters,Historical;Historical Fiction;Fiction;Lgbt;Historical;Mystery;Romance,October 1st 2002,582,Riverhead Books,English,1573229725,9781573229722,https://www.goodreads.com/book/show/45162.Fingersmith,
Birdsong,Sebastian Faulks,Historical;Historical Fiction;Fiction;War;Classics;Historical;Romance,June 2nd 1997,483,Vintage International,English,0679776818,9780679776819,https://www.goodreads.com/book/show/6259.Birdsong,
The Renegade Queen,Eva Flynn,Historical;Historical Fiction;Fiction;Romance;Romance;Historical Romance,December 15th 2015,328,Omega Press,,,9780996983204,https://www.goodreads.com/book/show/27420732-the-renegade-queen,
Unforgivable Lust & Fire (The Unforgivable Series. Book 1),Shay Lee Soleil,,July 21st 2015,345,FriesenPress,None,B012UQUX6W,None,https://www.goodreads.com/book/show/26827656-unforgivable-lust-fire,
Clover House,Alan Cuthbertson,,November 14th 2015,312,Create Space,None,,9781511527903,https://www.goodreads.com/book/show/27869877-clover-house,
Resplendent Ruin,Bella J.,Romance;Business;Amazon,November 16th 2015,182,Liquid Silver Books,,English,None,https://www.goodreads.com/book/show/26319763-resplendent-ruin,
Hidden Husband,Shikha Kaul,Romance,June 29th 2015,240,Gargi Publisher,None,,9789384382070,https://www.goodreads.com/book/show/25832342-hidden-husband,
Our Kiss,J.A. Alldredge,Novels,June 26th 2015,344,Joseph A. Alldredge,None,,9780996327404,https://www.goodreads.com/book/show/25825446-our-kiss,
