Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Kiss an Angel,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Humor;Funny;Adult,February 1st 1996,384,Avon,English,0380782332,9780380782338,https://www.goodreads.com/book/show/73086.Kiss_an_Angel,
Leaving Paradise,Simone Elkeles,Young Adult;Contemporary;Romance;Realistic Fiction,April 8th 2007,303,Flux,English,0738710180,9780738710181,https://www.goodreads.com/book/show/544424.Leaving_Paradise,
Matched,Ally Condie,Young Adult;Science Fiction;Dystopia;Romance,November 30th 2010,369,Dutton Books for Young Readers,English,0525423648,9780525423645,https://www.goodreads.com/book/show/7735333-matched,
The Vincent Boys,Abbi Glines,Romance;Young Adult;New Adult;Contemporary,October 12th 2011,260,,,B005VHPAJI,None,https://www.goodreads.com/book/show/12900174-the-vincent-boys,
It Had to Be You,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,March 5th 2002,376,Avon,English,0380776839,9780380776832,https://www.goodreads.com/book/show/73070.It_Had_to_Be_You,
Clockwork Angel,Cassandra Clare,Fantasy;Young Adult;Fantasy;Paranormal;Science Fiction;Steampunk;Romance,August 31st 2010,481,Simon & Schuster; Margaret K. McElderry,English,1416975861,9781416975861,https://www.goodreads.com/book/show/7171637-clockwork-angel,
Emma,Jane Austen;Fiona Stafford,Fiction;Classics;Historical;Historical Fiction;Literature;Historical,May 6th 2003,474,Penguin Books,English,0141439580,9780141439587,https://www.goodreads.com/book/show/6969.Emma,
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,Young Adult;Contemporary;Romance;Fiction;Womens Fiction;Chick Lit,September 7th 2010,280,Little Brown/Poppy,English,0316084239,9780316084239,https://www.goodreads.com/book/show/6931356-the-duff,
Significance,Shelly Crane,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,June 2011,387,Kiss Me Publications,English,1481200577,9781481200578,https://www.goodreads.com/book/show/16282066-significance,
The Edge of Never,J.A. Redmerski,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Young Adult,November 15th 2012,426,Createspace,English,1480095532,9781480095533,https://www.goodreads.com/book/show/16081272-the-edge-of-never,
A Kingdom of Dreams,Judith McNaught,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval;Adult,July 1st 2003,438,Pocket Books,English,0743474155,9780743474153,https://www.goodreads.com/book/show/129619.A_Kingdom_of_Dreams,
Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English,0425233383,9780425233382,https://www.goodreads.com/book/show/6642402-something-about-you,
Along for the Ride,Sarah Dessen,Young Adult;Romance;Contemporary,June 16th 2009,383,Viking Books for Young Readers,English,0670011940,9780670011940,https://www.goodreads.com/book/show/5664985-along-for-the-ride,
The Summer I Turned Pretty,Jenny Han,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction;Fiction;Young Adult;Teen;Young Adult;Young Adult Contemporary;Young Adult;Young Adult Romance;Young Adult;Coming Of Age,May 5th 2009,276,Simon  Schuster Books for Young Readers,English,1416968237,9781416968238,https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty,
Just the Sexiest Man Alive,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,October 1st 2008,296,Berkley Sensation,English,0425224201,9780425224205,https://www.goodreads.com/book/show/3863861-just-the-sexiest-man-alive,
This Lullaby,Sarah Dessen,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,March 8th 2004,345,Speak,English,0142501557,9780142501559,https://www.goodreads.com/book/show/22205.This_Lullaby,
Breathe,Abbi Glines,Romance;Young Adult;New Adult;Contemporary,May 16th 2011,164,Wild Child Publishing,,B0051BJSRO,None,https://www.goodreads.com/book/show/11479285-breathe,
Mystery Man,Kristen Ashley,Romance;Contemporary;Romance;Contemporary Romance;Adult,July 11th 2011,406,,,B005CHQT3S,None,https://www.goodreads.com/book/show/12299419-mystery-man,
Romeo and Juliet,William Shakespeare;Barbara A. Mowat;Paul Werstine,Classics;Plays;Fiction;Romance;Academic;School;Drama;Academic;Read For School;Literature;Young Adult;High School;Poetry,January 1st 2004,283,Washington Square Press,English,0743477111,9780743477116,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,
The Bride,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval,May 21st 2002,352,Atria Books,English,0743452925,9780743452922,https://www.goodreads.com/book/show/107779.The_Bride,
Going Too Far,Jennifer Echols,Young Adult;Romance;Contemporary;New Adult;Womens Fiction;Chick Lit,March 17th 2009,245,Pocket Books/MTV Books,English,1416571736,9781416571735,https://www.goodreads.com/book/show/4570679-going-too-far,
Shatter Me,Tahereh Mafi,Young Adult;Science Fiction;Dystopia;Romance;Fantasy,November 15th 2011,338,Harper,English,0062085484,9780062085481,https://www.goodreads.com/book/show/10429045-shatter-me,
Catching Jordan,Miranda Kenneally,Young Adult;Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Young Adult;High School,December 1st 2011,288,Sourcebooks Fire,English,1402262272,9781402262272,https://www.goodreads.com/book/show/9888775-catching-jordan,
The Gamble,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,April 18th 2011,629,Amazon Digital Services; Inc.,,B004X6TMLA,None,https://www.goodreads.com/book/show/11227041-the-gamble,
Forbidden,Tabitha Suzuma,Romance;Contemporary;Young Adult;Realistic Fiction,May 27th 2010,418,Definitions,English,1862308160,9781862308169,https://www.goodreads.com/book/show/7600924-forbidden,
Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0425148297,9780425148297,https://www.goodreads.com/book/show/479309.Naked_in_Death,
