_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Title_Title_jac_qgm_3_qgm_3,Title_Title_cos_dlm_dc0_dlm_dc0,Title_Title_jac_dlm_dc0_dlm_dc0,Title_Title_mel,Title_Title_lev_dist,Title_Title_lev_sim,Title_Title_nmw,Title_Title_sw,Authors_Authors_jac_qgm_3_qgm_3,Authors_Authors_cos_dlm_dc0_dlm_dc0,Authors_Authors_jac_dlm_dc0_dlm_dc0,Authors_Authors_mel,Authors_Authors_lev_dist,Authors_Authors_lev_sim,Authors_Authors_nmw,Authors_Authors_sw,Publishing_Date_Publishing_Date_jac_qgm_3_qgm_3,Publishing_Date_Publishing_Date_cos_dlm_dc0_dlm_dc0,Publishing_Date_Publishing_Date_jac_dlm_dc0_dlm_dc0,Publishing_Date_Publishing_Date_mel,Publishing_Date_Publishing_Date_lev_dist,Publishing_Date_Publishing_Date_lev_sim,Publishing_Date_Publishing_Date_nmw,Publishing_Date_Publishing_Date_sw,Pages_Pages_lev_dist,Pages_Pages_lev_sim,Pages_Pages_jar,Pages_Pages_jwn,Pages_Pages_exm,Pages_Pages_jac_qgm_3_qgm_3,Publisher_Publisher_jac_qgm_3_qgm_3,Publisher_Publisher_cos_dlm_dc0_dlm_dc0,Publisher_Publisher_jac_dlm_dc0_dlm_dc0,Publisher_Publisher_mel,Publisher_Publisher_lev_dist,Publisher_Publisher_lev_sim,Publisher_Publisher_nmw,Publisher_Publisher_sw,Language_Language_jac_qgm_3_qgm_3,Language_Language_cos_dlm_dc0_dlm_dc0,Language_Language_jac_dlm_dc0_dlm_dc0,Language_Language_mel,Language_Language_lev_dist,Language_Language_lev_sim,Language_Language_nmw,Language_Language_sw,predicted,proba
11449,3891,316,0,0.08121305576972504,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.4375,0.40824829046386296,0.25,0.8691666722297668,2.0,0.8,7.0,7.0,0.07142857142857142,0.0,0.0,0.46262624859809875,10,0.33333333333333337,1.0,4.0,0.0,1.0,1.0,1.0,1,1.0,0.23076923076923078,0.4999999999999999,0.3333333333333333,0.6745726466178894,9.0,0.4,4.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9952751471436659
11456,843,317,0,0.3760379596678529,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.03571428571428571,0.0,0.0,0.47056275606155396,10,0.2857142857142857,1.0,4.0,1.0,0.6666666666666667,0.7777777910232544,0.8222222328186035,0,0.25,0.0,0.0,0.0,0.5370370149612427,16.0,0.11111111111111116,-12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9909627614746984
11491,3201,317,0,0.09903155263980001,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.07407407407407407,0.0,0.0,0.6024531126022339,9,0.3571428571428571,2.0,5.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.5370370149612427,16.0,0.11111111111111116,-12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9957930685400749
11860,355,323,0,0.9098591549295775,2.0,0.33333333333333337,0.7857142857142857,0.75,0.6,0.9833333492279053,1.0,0.9583333333333334,23.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.07692307692307693,0.0,0.0,0.5463869571685791,8,0.3846153846153846,3.0,4.0,0.0,1.0,1.0,1.0,1,1.0,0.0425531914893617,0.4082482904638631,0.16666666666666666,0.6150793433189392,38.0,0.09523809523809523,-34.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9957211775319348
11974,1216,325,0,0.2672697368421053,3.0,0.25,0.4222222222222222,0.7559289460184544,0.5714285714285714,0.6035040616989136,25.0,0.43181818181818177,-6.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.19230769230769232,0.33333333333333337,0.2,0.5960497856140137,10,0.375,1.0,5.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3819444477558136,15.0,0.0625,-3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9221719814815531
11996,968,326,0,0.3367768595041323,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.0625,0.0,0.0,0.5254043936729431,14,0.26315789473684215,-3.0,4.0,2.0,0.33333333333333337,0.5555555820465088,0.6000000238418579,0,0.1111111111111111,0.0,0.0,0.0,0.4166666567325592,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,-7.0,0.0,1,0.9696056054284157
12001,3902,326,0,0.08354689902614043,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.0625,0.0,0.0,0.4392344355583191,14,0.26315789473684215,-3.0,4.0,1.0,0.6666666666666667,0.7777777910232544,0.8222222328186035,0,0.25,0.0,0.0,0.0,0.3819444477558136,15.0,0.0625,-3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,-7.0,0.0,1,0.9815614675436781
12201,345,328,0,0.9507246376811594,2.0,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.46645021438598633,12,0.1428571428571429,-1.0,2.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.523809552192688,26.0,0.0714285714285714,-22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9957024183805085
12264,2097,328,0,0.15641392465426796,4.0,0.0,0.34210526315789475,0.5345224838248487,0.2857142857142857,0.8764705657958984,21.0,0.38235294117647056,-8.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.38455986976623535,12,0.1428571428571429,-1.0,2.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5289855003356934,21.0,0.08695652173913049,-17.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.805182974875217
12303,212,329,0,0.6443768996960486,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.2608695652173913,0.33333333333333337,0.2,0.8202019929885864,9,0.4,2.0,5.0,1.0,0.6666666666666667,0.7777777910232544,0.8222222328186035,0,0.25,0.05714285714285714,0.0,0.0,0.5083333253860474,21.0,0.125,-12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1,0.9963276355984972
