id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language,,,,,,,,,,
1606,Dangerous In Diamonds,Madeline Hunter,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,07 Jul 2011,360,Penguin Putnam Inc,English,,,,,,,,,,
1607,To Sir Phillip With Love : Number 5 in series,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,01 Nov 2006,384,Little Brown Book Group,English,,,,,,,,,,
1608,Ravishing The Heiress,Sherry Thomas,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,06 Dec 2012,295,Penguin Putnam Inc,English,,,,,,,,,,
1609,Christmas at Woolworths,Elaine Everest,Contemporary Fiction:World War 2 Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,31 Oct 2017,416,Pan MacMillan,English,,,,,,,,,,
1610,The Summer Bride,Anne Gracie,Historical Romance:Historical Romance:Historical Fiction,29 Aug 2016,308,Penguin Putnam Inc,English,,,,,,,,,,
1611,The Wolf and the Dove,Kathleen E. Woodiwiss,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,512,HarperCollins Publishers Inc,English,,,,,,,,,,
1612,A Hero of Our Time,Mikhail Lermontov:Natasha Randall,Contemporary Fiction:Classic Books & Novels:Adventure Books:Historical Romance:Historical Romance:Historical Fiction,27 Aug 2009,208,Penguin Books Ltd,English,,,,,,,,,,
1613,Rules to Catch a Devilish Duke,Suzanne Enoch,Contemporary Fiction:Historical Romance:Historical Romance,05 Oct 2012,352,St Martin's Press,English,,,,,,,,,,
1614,To Desire A Wicked Duke,Nicole Jordan,Romance:Romance Books:Historical Romance:Historical Romance,01 Mar 2011,357,Random House USA Inc,English,,,,,,,,,,
1615,A Room with a View,E M Forster:David Leavitt,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Sep 2009,224,Penguin Putnam Inc,English,,,,,,,,,,
1616,Rules of Engagement,Stephanie Laurens:Kasey Michaels:Delilah Marvelle,Historical Romance:Historical Romance,17 Apr 2012,442,HarperCollins Publishers,English,,,,,,,,,,
1617,Flowers from the Storm,Laura Kinsale,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,02 Sep 2011,471,HarperCollins Publishers Inc,English,,,,,,,,,,
1618,Slighty Tempted,Mary Balogh,Historical Romance:Historical Romance,30 Dec 2003,256,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1619,A Lady by Midnight,Tessa Dare,Romance:Romance Books:Historical Romance:Historical Romance,28 Aug 2012,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1620,Simply Magic,Mary Balogh,Contemporary Fiction:Historical Romance:Historical Romance,26 Feb 2008,433,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1621,Skylarking,Kate Mildenhall,Historical Romance:Historical Romance:Historical Fiction,03 Jul 2017,288,Legend Press Ltd,English,,,,,,,,,,
1622,The Chief,Monica McCarty,Contemporary Fiction:Historical Romance:Historical Romance,23 Mar 2010,432,Random House USA Inc,English,,,,,,,,,,
1623,All Afternoon with a Scandalous Marquess,Alexandra Hawkins,Historical Romance:Historical Romance,31 Jul 2012,307,St Martin's Press,English,,,,,,,,,,
1624,All Night with a Rogue,Alexandra Hawkins,Historical Romance:Historical Romance,02 Feb 2010,326,St Martin's Press,English,,,,,,,,,,
1625,Ross Poldark : A Novel of Cornwall 1783-1787,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,15 Jul 2016,472,Pan MacMillan,English,,,,,,,,,,
1626,An English Bride in Scotland,Lynsay Sands,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,25 Jun 2013,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1627,And Then She Fell : Number 4 in series,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,26 Mar 2013,384,Little Brown Book Group,English,,,,,,,,,,
1628,The Most Beautiful Woman in Florence : A Story of Botticelli,Alyssa Palombo,Historical Romance:Historical Romance:Historical Fiction,25 Apr 2017,309,St Martin's Press,English,,,,,,,,,,
1629,Minx,Julia Quinn,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,02 Sep 2011,391,HarperCollins Publishers Inc,English,,,,,,,,,,
1630,The Perfect Kiss,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,22 Jul 2011,339,Penguin Putnam Inc,English,,,,,,,,,,
1631,A Gentleman's Honour,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,451,HarperCollins Publishers Inc,English,,,,,,,,,,
1632,It's In His Kiss : Number 7 in series,Julia Quinn,Historical Romance:Historical Romance,01 Dec 2006,384,Little Brown Book Group,English,,,,,,,,,,
1633,Once Upon a Tower : Number 5 in series,Eloisa James,Historical Romance:Historical Romance:Historical Fiction,28 May 2013,416,Little Brown Book Group,English,,,,,,,,,,
1634,To Catch a Bride,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,25 Jul 2011,308,Penguin Putnam Inc,English,,,,,,,,,,
1635,Enchanting Pleasures,Eloisa James,Historical Romance:Historical Romance,03 Jun 2002,432,Random House (Pty) Ltd South Africa,English,,,,,,,,,,
1636,Taming of the Duke,Eloise James,Historical Romance:Historical Romance,11 Jul 2011,394,HarperCollins Publishers Inc,English,,,,,,,,,,
1637,Drums of Autumn,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Jan 1997,880,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1638,No Choice But Seduction,Johanna Lindsey,Contemporary Fiction:Historical Romance:Historical Romance,01 May 2009,455,SIMON & SCHUSTER,English,,,,,,,,,,
1639,Till Dawn with the Devil,Alexandra Hawkins,Historical Romance:Historical Romance,03 Aug 2010,319,St Martin's Press,English,,,,,,,,,,
1640,Too Wilde to Wed,Eloisa James,Historical Romance:Historical Romance,29 May 2018,384,AVON BOOKS,English,,,,,,,,,,
1641,Rules of an Engagement,Suzanne Enoch,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1642,Captivated,Nora Roberts,Historical Romance:Historical Romance,07 Nov 2011,336,HarperCollins Publishers,English,,,,,,,,,,
1643,Before the Fall,Juliet West,Historical Romance:Historical Romance:Sagas,28 Aug 2014,256,Pan MacMillan,English,,,,,,,,,,
1644,The Heir,Grace Burrowes,Contemporary Fiction:Historical Romance:Historical Romance,01 Dec 2010,471,Sourcebooks Casablanca,English,,,,,,,,,,
1645,Enchanting Pleasures,Eloisa James,Historical Romance:Historical Romance,03 Jul 2014,432,Little Brown Book Group,English,,,,,,,,,,
1646,Kiss of Steel,Bec Mcmaster,Contemporary Fiction:Horror:Horror:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 2012,439,Sourcebooks Inc,English,,,,,,,,,,
1647,Anna Karenina,Leo Tolstoy:Louise Shanks Maude:Aylmer Maude,Literary Studies: General:Literary Studies: Fiction Novelists & Prose Writers:Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,25 Feb 1994,963,Random House USA Inc,English,,,,,,,,,,
1648,The Hellion and the Highlander,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1649,The Girl Who Knew Too Much,Amanda Quick,Romance:Romance Books:Historical Romance:Historical Romance,09 May 2017,368,Little Brown Book Group,English,,,,,,,,,,
1650,Last Train to Istanbul : A Novel,Ayse Kulin:John William Baker,Adventure Books:Military Fiction:Historical Romance:Historical Romance:Historical Fiction,08 Oct 2013,396,Amazon Publishing,English,,,,,,,,,,
1651,Price of Pleasure,Kresley Cole,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,29 Jun 2004,384,Simon & Schuster Ltd,English,,,,,,,,,,
1652,Beyond Scandal and Desire : A Sins for All Seasons Novel,Lorraine Heath,Romance:Romance Books:Historical Romance:Historical Romance,07 Feb 2018,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1653,Do You Want to Start a Scandal,Tessa Dare,Romance:Romance Books:Historical Romance:Historical Romance,27 Sep 2016,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1654,The Ranger,Monica McCarty,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Jan 2011,416,Random House USA Inc,English,,,,,,,,,,
1655,A Summer to Remember,Mary Balogh,Contemporary Fiction:Historical Romance:Historical Romance,04 Mar 2003,361,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1656,River God,Wilbur Smith,Adventure Books:Historical Romance:Historical Romance:Historical Fiction,02 May 2008,818,St Martin's Press,English,,,,,,,,,,
1657,Edenbrooke,Julianne Donaldson,Historical Romance:Historical Romance:Historical Fiction:Religious & Spiritual Fiction:Christian Life & Practice,12 Jan 2017,264,Shadow Mountain,English,,,,,,,,,,
1658,The Gilded Web,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,28 Feb 2007,449,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1659,The Fiery Cross,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Oct 2002,992,DELTA,English,,,,,,,,,,
1660,Twas the Night After Christmas,Sabrina Jeffries,Contemporary Fiction:Historical Romance:Historical Romance,29 Oct 2013,392,SIMON & SCHUSTER,English,,,,,,,,,,
1661,Affair Without End,Candace Camp,Romance:Romance Books:Historical Romance:Historical Romance,22 Mar 2011,352,SIMON & SCHUSTER,English,,,,,,,,,,
1662,Mr and Mrs Fitzwilliam Darcy : Two Shall Become One,Sharon Lathan,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,08 Jun 2009,320,Sourcebooks Inc,English,,,,,,,,,,
1663,When He Was Wicked : Number 6 in series,Julia Quinn,Historical Romance:Historical Romance,01 Nov 2006,384,Little Brown Book Group,English,,,,,,,,,,
1664,The Curious Case of Lady Latimer's Shoes,Stephanie Laurens,Contemporary Fiction:Historical Romance:Historical Romance,06 Jun 2014,222,Savdek Management,English,,,,,,,,,,
1665,Let Love Find You,Johanna Lindsey,Historical Romance:Historical Romance,23 Apr 2013,418,SIMON & SCHUSTER,English,,,,,,,,,,
1666,Rake's Midnight Kiss,Anna Campbell,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Aug 2013,434,Little Brown & Company,English,,,,,,,,,,
1667,The Stranger I Married,Sylvia Day,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,28 Aug 2012,312,Kensington Publishing,English,,,,,,,,,,
1668,Simply Perfect,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,30 Dec 2008,448,Random House USA Inc,English,,,,,,,,,,
1669,The Day of the Duchess,Sarah MacLean,Historical Romance:Historical Romance,27 Jun 2017,387,AVON BOOKS,English,,,,,,,,,,
1670,Beauty And The Blacksmith : A Spindle Cove Novella,Tessa Dare,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,04 Sep 2013,208,HarperCollins Publishers Inc,English,,,,,,,,,,
1671,My Irresistible Earl,Gaelen Foley,Historical Romance:Historical Romance,02 Sep 2011,390,HarperCollins Publishers Inc,English,,,,,,,,,,
1672,The Bride Wore Scarlet,Liz Carlyle,Romance:Romance Books:Historical Romance:Historical Romance,20 Oct 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1673,Taming the Highland Bride,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1674,To Catch an Heiress,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,377,HarperCollins Publishers Inc,English,,,,,,,,,,
1675,An Affair Before Christmas,Eloisa James,Historical Romance:Historical Romance,08 Jul 2011,388,HarperCollins Publishers Inc,English,,,,,,,,,,
1676,Passion For The Game,Sylvia Day,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Sagas:Historical Fiction,27 Nov 2012,304,Kensington Publishing,English,,,,,,,,,,
1677,My Reckless Surrender,Anna Campbell,Romance:Romance Books:Historical Romance:Historical Romance,01 Jan 2011,374,HarperCollins Publishers Inc,English,,,,,,,,,,
1678,Everything and the Moon,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,372,HarperCollins Publishers Inc,English,,,,,,,,,,
1679,The Hamilton Affair : The Epic Love Story of Alexander Hamilton and Eliza Schuyler,Elizabeth Cobbs,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,19 Oct 2017,416,Hodder & Stoughton General Division,English,,,,,,,,,,
1680,His Captive Lady,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2008,323,Penguin Putnam Inc,English,,,,,,,,,,
1681,What I Did For a Duke : Pennyroyal Green Series,Julie Anne Long,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1682,Passions of a Wicked Earl,Lorraine Heath,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1683,Devil of the Highlands,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1684,A Night to Surrender,Tessa Dare,Contemporary Fiction:Historical Romance:Historical Romance,30 Aug 2011,400,HarperCollins Publishers Inc,English,,,,,,,,,,
1685,Captive of Sin,Anna Campbell,Historical Romance:Historical Romance,08 Jul 2011,372,HarperCollins Publishers Inc,English,,,,,,,,,,
1686,Potent Pleasures,Eloisa James,Romance:Romance Books:Historical Romance:Historical Romance,01 Jun 2000,480,Random House USA Inc,English,,,,,,,,,,
1687,Mr. Impossible,Loretta Chase,Contemporary Fiction:Adventure Books:Historical Romance:Historical Romance,03 Mar 2005,320,Penguin Putnam Inc,English,,,,,,,,,,
1688,No Place For A Lady : A Sweeping Wartime Romance Full of Courage and Passion,Gill Paul,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,02 Jul 2015,432,HarperCollins Publishers,English,,,,,,,,,,
1689,The Wicked Deeds of Daniel MacKenzie,Jennifer Ashley,Historical Romance:Historical Romance,01 Oct 2013,371,Berkley Books,English,,,,,,,,,,
1690,The Perfect Waltz,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,22 Jul 2011,341,Penguin Putnam Inc,English,,,,,,,,,,
1691,Splendid,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,26 Aug 2003,396,HarperCollins Publishers Inc,English,,,,,,,,,,
1692,Just Imagine,Susan Elizabeth Phillips,Historical Romance:Historical Romance,04 Sep 2001,372,HarperCollins Publishers Inc,English,,,,,,,,,,
1693,The Pirate Lord,Sabrina Jeffries,Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1694,The Raven Prince : Number 1 in series,Elizabeth Hoyt,Historical Romance:Historical Romance:Historical Fiction,01 Mar 2007,400,Little Brown & Company,English,,,,,,,,,,
1695,The Leopard Prince : Number 2 in series,Elizabeth Hoyt,Historical Romance:Historical Romance:Historical Fiction,03 May 2007,384,Little Brown & Company,English,,,,,,,,,,
1696,A Woman of Substance,Barbara Taylor Bradford,Historical Romance:Historical Romance:Sagas,05 Dec 2011,848,HarperCollins Publishers,English,,,,,,,,,,
1697,His at Night,Sherry Thomas,Romance:Romance Books:Historical Romance:Historical Romance,25 May 2010,417,Random House USA Inc,English,,,,,,,,,,
1698,The Passion,Jeanette Winterson,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,01 Sep 1997,160,Avalon Travel Publishing,English,,,,,,,,,,
1699,Midnight Pleasures,Eloisa James,Historical Romance:Historical Romance,26 Jun 2001,464,Random House (Pty) Ltd South Africa,English,,,,,,,,,,
1700,Stranger in My Arms,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,,,,,,,,,,
1701,Templar Silks,Elizabeth Chadwick,Historical Adventure:Historical Romance:Historical Romance:Historical Fiction,27 Feb 2018,496,Little Brown Book Group,English,,,,,,,,,,
1702,Pride and Prejudice and Zombies FTI,Seth Grahame-Smith,Contemporary Fiction:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,15 Dec 2015,344,Quirk Books,English,,,,,,,,,,
1703,Mr. Cavendish I Presume,Julia Quinn,Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1704,Pleasures of a Notorious Gentleman,Lorraine Heath,Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1705,Hidden Fires,Sandra Brown,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,21 Aug 2001,384,Little Brown & Company,English,,,,,,,,,,
1706,Vixen in Velvet,Loretta Chase,Historical Romance:Historical Romance,24 Jun 2014,384,HarperCollins,English,,,,,,,,,,
1707,To Marry a Scottish Laird,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,01 Jul 2014,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1708,The Stolen Princess,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,02 Jan 2008,356,Penguin Putnam Inc,English,,,,,,,,,,
1709,Fires of Winter,Johanna Lindsey,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,02 Sep 2011,400,HarperCollins Publishers Inc,English,,,,,,,,,,
1710,The Husband Hunt,Lynsay Sands,Romance:Romance Books:Historical Romance:Historical Romance,05 Mar 2012,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1711,The Ladies of Ivy Cottage,Julie Klassen,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction:Religious & Spiritual Fiction,05 Jan 2018,448,Baker Publishing Group,English,,,,,,,,,,
1712,Dearest Rogue,Elizabeth Hoyt,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,26 May 2015,334,Little Brown & Company,English,,,,,,,,,,
1713,The Reasons for Marriage,Stephanie Laurens,Historical Romance:Historical Romance:Sagas:Historical Fiction,15 Feb 2008,384,Mira Books,English,,,,,,,,,,
1714,An Unwilling Conquest,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,16 May 2008,384,Mira Books,English,,,,,,,,,,
1715,Simply Unforgettable,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,25 Jul 2006,422,Random House USA Inc,English,,,,,,,,,,
1716,The Violinist of Venice : A Story of Vivaldi,Alyssa Palombo,Historical Romance:Historical Romance:Historical Fiction,15 Dec 2015,437,St. Martin's Griffin,English,,,,,,,,,,
1717,Pamela,Samuel Richardson:Peter Sabor:Margaret Anne Doody,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,26 Feb 1981,544,Penguin Books Ltd,English,,,,,,,,,,
1718,Desperate Duchesses,Eloisa James,Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1719,The Last Hellion,Loretta Chase,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,11 Jul 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1720,Captured by the Highlander,Julianne MacLean,Historical Romance:Historical Romance,01 Mar 2011,320,St Martin's Press,English,,,,,,,,,,
1721,The Karamazov Brothers,Fyodor Dostoevsky:Ignat Avsey,Literary Studies: C 1800 To C 1900:Literary Studies: Fiction Novelists & Prose Writers:Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,09 Sep 2008,1056,Oxford University Press,English,,,,,,,,,,
1722,The Flame and the Flower,Kathleen E. Woodiwiss,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,02 Sep 2011,512,HarperCollins Publishers Inc,English,,,,,,,,,,
1723,Snowdrift and Other Stories (includes three new recently discovered short stories),Georgette Heyer,Historical Romance:Historical Romance:Historical Fiction:Short Story Books,20 Oct 2016,368,Cornerstone,English,,,,,,,,,,
1724,An Unlikely Countess : A Novel of the Malloren World,Jo Beverley,Political & Legal:Political & Legal:Romance:Romance Books:Historical Romance:Historical Romance,26 May 2011,432,Penguin Putnam Inc,English,,,,,,,,,,
1725,The Hawk,Monica McCarty,Romance:Romance Books:Historical Romance:Historical Romance,01 Nov 2010,416,Random House USA Inc,English,,,,,,,,,,
1726,The Proposal,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,28 May 2013,365,Dell,English,,,,,,,,,,
1727,As You Wish,Eloisa James,Contemporary Fiction:Historical Romance:Historical Romance,26 Mar 2013,374,HarperCollins Publishers Inc,English,,,,,,,,,,
1728,Further Observations of Lady Whistledown,Suzanne Enoch:Karen Hawkins:Julia Quinn:Mia Ryan,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,391,HarperCollins Publishers Inc,English,,,,,,,,,,
1729,Loving Rose: The Redemption of Malcolm Sinclair : Number 3 in series,Stephanie Laurens,Historical Crime:Historical Crime:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,29 Jul 2014,384,Little Brown Book Group,English,,,,,,,,,,
1730,Sorcerer to the Crown,Zen Cho,Fantasy:Fantasy Books:Historical Romance:Historical Romance,28 Jul 2016,384,Pan MacMillan,English,,,,,,,,,,
1731,Ask for It,Sylvia Day,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,04 Nov 2013,304,Penguin Books Ltd,English,,,,,,,,,,
1732,The Masterful Mr. Montague,Stephanie Laurens,Historical Crime:Historical Crime:Historical Romance:Historical Romance:Historical Fiction,08 May 2014,435,HarperCollins Publishers Inc,English,,,,,,,,,,
1733,Jane Austen Note Cards,Potter Gift,Classic Books & Novels:Historical Romance:Historical Romance:Historical Fiction:Miscellaneous Items:Stationery,18 Feb 2010,16,Random House USA Inc,English,,,,,,,,,,
1734,Untouched,Anna Campbell,Romance:Romance Books:Historical Romance:Historical Romance,01 Jan 2009,373,HarperCollins Publishers Inc,English,,,,,,,,,,
1735,Shadow's Stand,Sarah McCarty,Westerns:Romance:Romance Books:Historical Romance:Historical Romance,31 Jan 2012,377,HarperCollins Publishers,English,,,,,,,,,,
1736,The Arrow,Monica McCarty,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,19 Sep 2014,432,Random House USA Inc,English,,,,,,,,,,
1737,Desperate Fortune,Susanna Kearsley,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,07 Apr 2015,528,Sourcebooks Landmark,English,,,,,,,,,,
1738,On The Way To The Wedding : Number 8 in series,Julia Quinn,Historical Romance:Historical Romance,01 Jul 2006,384,Little Brown Book Group,English,,,,,,,,,,
1739,Duke of Sin,Elizabeth Hoyt,Historical Romance:Historical Romance:Historical Fiction,31 May 2016,347,Little Brown & Company,English,,,,,,,,,,
1740,A Winter Scandal,Candace Camp,Historical Romance:Historical Romance,25 Oct 2011,431,SIMON & SCHUSTER,English,,,,,,,,,,
1741,Demelza : A Novel of Cornwall 1788-1790,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,15 Jul 2016,536,Pan MacMillan,English,,,,,,,,,,
1742,Claiming the Courtesan,Anna Campbell,Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,375,HarperCollins Publishers Inc,English,,,,,,,,,,
1743,Not Quite a Husband,Sherry Thomas,Romance:Romance Books:Historical Romance:Historical Romance,19 May 2009,341,Random House USA Inc,English,,,,,,,,,,
1744,Master of Desire,Kinley MacGregor,Historical Romance:Historical Romance,26 Jul 2005,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1745,Prince of Dreams,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,17 Aug 2011,404,HarperCollins Publishers Inc,English,,,,,,,,,,
1746,The Devil Wears Kilts,Suzanne Enoch,Historical Romance:Historical Romance,26 Nov 2013,336,St Martin's Press,English,,,,,,,,,,
1747,Big Sky Wedding,Linda Lael Miller,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Aug 2013,376,Harlequin,English,,,,,,,,,,
1748,The Third Circle,Amanda Quick,Thriller Books:Thrillers:Romance:Romance Books:Historical Romance:Historical Romance,01 Apr 2009,433,Penguin Putnam Inc,English,,,,,,,,,,
1749,Ravished,Amanda Quick,Historical Romance:Historical Romance,01 Jul 1992,385,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1750,The Girl with the Make-Believe Husband,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,30 May 2017,384,Little Brown Book Group,English,,,,,,,,,,
1751,The Viper,Monica McCarty,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,22 Oct 2011,416,Random House USA Inc,English,,,,,,,,,,
1752,Moonglow,Kristen Callihan,Historical Romance:Historical Romance,23 Aug 2012,416,Little Brown & Company,English,,,,,,,,,,
1753,The Serpent Prince : Number 3 in series,Elizabeth Hoyt,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,04 Oct 2007,384,Little Brown & Company,English,,,,,,,,,,
1754,A Study in Scarlet Women,Sherry Thomas,Crime:Crime Fiction:Historical Crime:Historical Crime:Historical Romance:Historical Romance,18 Oct 2016,323,Penguin Putnam Inc,English,,,,,,,,,,
1755,Virtuoso,Grace Burrowes,Contemporary Fiction:Historical Romance:Historical Romance,01 Nov 2011,403,Sourcebooks Inc,English,,,,,,,,,,
1756,Lord Langley Is Back in Town,Elizabeth Boyle,Romance:Romance Books:Historical Romance:Historical Romance,05 Jun 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1757,The Phantom of the Opera,Gaston Leroux:Dr John L Flynn:J R Ward,Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance,05 Oct 2010,271,Penguin Putnam Inc,English,,,,,,,,,,
1758,A Night Like This : Number 2 in series,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,29 May 2012,384,Little Brown Book Group,English,,,,,,,,,,
1759,Midnight Angel,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,17 Aug 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
1760,Four Weddings and a Sixpence : An Anthology,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance:Short Story Books,27 Dec 2016,416,HarperCollins Publishers Inc,English,,,,,,,,,,
1761,My Wicked Marquess,Gaelen Foley,Historical Romance:Historical Romance,11 Jul 2011,374,HarperCollins Publishers Inc,English,,,,,,,,,,
1762,Marry In Scandal,Anne Gracie,Historical Romance:Historical Romance:Historical Fiction,05 Apr 2018,320,Penguin Putnam Inc,English,,,,,,,,,,
1763,One Night for Love,Mary Balogh,Historical Romance:Historical Romance,01 Sep 1999,375,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
1764,Devil's Consort,Anne O'Brien,Historical Romance:Historical Romance:Historical Fiction,20 Feb 2015,544,HarperCollins Publishers,English,,,,,,,,,,
1765,Kiss Me Annabel,Eloisa James,Historical Romance:Historical Romance,11 Jul 2011,386,HarperCollins Publishers Inc,English,,,,,,,,,,
1766,Web of Love,Mary Balogh,Historical Romance:Historical Romance,30 Jun 2007,420,Random House USA Inc,English,,,,,,,,,,
