Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
Dracula,Bram Stoker:Ang Lee:Maurice Hindle:Christopher Frayling,Contemporary Fiction:Classic Books & Novels:Horror:Horror:Classic Horror:Classic Horror:Romance:Romance Books:English Language: Reading & Writing Skills,01 May 2003,512,Penguin Books Ltd,English
Lover Revealed : A Novel of the Black Dagger Brotherhood,J R Ward,Horror:Horror:Romance:Romance Books,25 Jul 2011,463,Penguin Putnam Inc,English
Deep Kiss of Winter : A Holiday Collection with Bite,Gena Showalter:Kresley Cole,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,26 Jan 2011,528,SIMON & SCHUSTER,English
Promises After Dark (After Dark Book 3) : After Dark Book Three,Sadie Matthews,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Feb 2013,384,Hodder & Stoughton General Division,English
The Improbability of Love : SHORTLISTED FOR THE BAILEYS WOMEN'S PRIZE FOR FICTION 2016,Hannah Rothschild,Contemporary Fiction:Romance:Romance Books,31 Mar 2016,496,Bloomsbury Publishing PLC,English
Frankenstein,Mary Shelley,Poetry & Drama:Classic Books & Novels:Horror:Horror:Science Fiction:Science Fiction:Romance:Romance Books,30 Sep 2014,352,Penguin Books Ltd,English
Truly Madly Guilty,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Jul 2016,480,Penguin Books Ltd,English
Blood Kiss,J R Ward,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2015,412,Berkley Books,English
Angels' Flight,Nalini Singh,Contemporary Fiction:Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books,03 May 2012,358,Penguin Putnam Inc,English
Shadow's Claim : Immortals After Dark: The Dacians,Kresley Cole,Contemporary Fiction:Romance:Romance Books,27 Nov 2012,496,SIMON & SCHUSTER,English
A Tiny Bit Marvellous,Dawn French,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,08 Jan 2011,448,Penguin Books Ltd,English
A Beautiful Wedding,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Dec 2013,208,Simon & Schuster Ltd,English
Holiday in Death,J. D. Robb,Crime:Crime Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,326,Penguin Putnam Inc,English
Confusion,Elizabeth Jane Howard,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Nov 2013,528,Pan MacMillan,English
Explosive Eighteen : A Stephanie Plum Novel,Janet Evanovich,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books,15 May 2012,334,Random House USA Inc,English
One Perfect Summer,Paige Toon,Contemporary Fiction:Romance:Romance Books,05 Jul 2016,480,Simon & Schuster Ltd,English
Judgment Road,Christine Feehan,Contemporary Fiction:Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Jan 2018,464,Berkley Books,English
Iron Crowned,Richelle Mead,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,01 Mar 2011,384,Kensington Publishing,English
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Mar 2012,496,Little Brown Book Group,English
Passenger,Alexandra Bracken,Romance:Romance Books:Sci Fi Books for Kids:Romance Books for Teenagers:Historical,01 Jun 2016,496,Hachette Children's Group,English
Casting Off,Elizabeth Jane Howard,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,07 Nov 2013,656,Pan MacMillan,English
The Tea Planter's Wife,Dinah Jefferies,Historical Romance:Historical Romance:Historical Fiction,03 Sep 2015,448,Penguin Books Ltd,English
All Change,Elizabeth Jane Howard,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,10 Apr 2014,592,Pan MacMillan,English
Archangel's Storm,Nalini Singh,Romance:Romance Books,04 Sep 2012,337,Penguin Putnam Inc,English
Lord John and the Private Matter,Diana Gabaldon,Historical Crime:Historical Crime:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,28 Oct 2008,338,Random House USA Inc,English
Down Among the Sticks and Bones,Seanan McGuire,Fantasy:Fantasy Books:Myth & Legend Told As Fiction:Romance:Romance Books,13 Jun 2017,192,Starscape,English
Middlemarch,George Eliot:Rosemary Ashton,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Dec 2003,880,Penguin Books Ltd,English
Nocturnes : Five Stories of Music and Nightfall,Kazuo Ishiguro,Music:Music:Contemporary Fiction:Romance:Romance Books:Short Story Books,18 Mar 2010,240,FABER & FABER,English
The Tea Rose,Jennifer Donnelly,Historical Romance:Historical Romance:Historical Fiction,27 Oct 2017,557,St Martin's Press,English
The Great Alone,Kristin Hannah,Contemporary Fiction:Romance:Romance Books,08 Feb 2018,352,Pan MacMillan,English
The Japanese Lover,Isabel Allende,Romance:Romance Books,22 Aug 2016,336,Simon & Schuster Ltd,English
Viscount Breckenridge to the Rescue,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 May 2012,437,HarperCollins Publishers Inc,English
Making It Up As I Go Along,Marian Keyes,Prose: Non-fiction:Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books:Funny Books & Stories,06 Oct 2016,480,Penguin Books Ltd,English
Eternal Kiss of Darkness,Jeaniene Frost,Romance:Romance Books,22 Oct 2010,361,HarperCollins Publishers Inc,English
Ecstasy Unveiled,Larissa Ione,Fantasy:Fantasy Books:Romance:Romance Books,04 Mar 2010,384,Little Brown & Company,English
Rapture in Death,J. D. Robb,Crime:Crime Fiction:Romance:Romance Books,25 Jul 2011,310,Penguin Putnam Inc,English
The Chosen : A Novel of the Black Dagger Brotherhood,J. R. Ward,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,26 Sep 2017,576,Ballantine Books,English
S.,J.J Abrams:Doug Dorst,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books:Romance:Romance Books,29 Oct 2013,472,Mulholland Books,English
New York to Dallas,J D Robb,Crime:Crime Fiction:Romance:Romance Books,03 Jun 2012,392,Penguin Putnam Inc,English
The Horse Dancer,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Mar 2014,528,Hodder & Stoughton General Division,English
In Pursuit of Eliza Cynster,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,01 May 2012,440,HarperCollins Publishers Inc,English
Archangel's Legion,Nalini Singh,Contemporary Fiction:Romance:Romance Books,29 Oct 2013,374,Berkley Books,English
Mini Shopaholic : (Shopaholic Book 6),Sophie Kinsella,Contemporary Fiction:Romance:Romance Books,21 Jul 2011,464,Transworld Publishers Ltd,English
North and South,Elizabeth Gaskell:Patricia Ingham,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:Sagas:Historical Fiction,23 Dec 2008,496,Penguin Books Ltd,English
Archangel's Viper,Nalini Singh,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books,26 Sep 2017,368,Berkley Books,English
The Taming of Ryder Cavanagh,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,12 Nov 2013,432,HarperCollins Publishers Inc,English
The Mystery of Mercy Close,Marian Keyes,Fiction Books:Contemporary Fiction:Crime:Crime Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas:Funny Books & Stories,29 May 2017,608,Penguin Books Ltd,English
The Break,Marian Keyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,07 Sep 2017,576,Penguin Books Ltd,English
Beautiful Redemption,Jamie Mcguire,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jan 2015,256,Createspace Independent Publishing Platform,English
The Lavender Keeper,Fiona McIntosh,Contemporary Fiction:Romance:Romance Books:Historical Fiction,10 Jun 2013,512,ALLISON & BUSBY,English
Truly Madly Guilty,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Apr 2017,496,Penguin Books Ltd,English
The Invasion of the Tearling : (The Tearling Trilogy 2),Erika Johansen,Thriller Books:Thrillers:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books,30 Jun 2016,576,Transworld Publishers Ltd,English
True Believer,Nicholas Sparks,Romance:Romance Books,08 Dec 2007,465,Time Warner Trade Publishing,English
Beautiful Bitch,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Sep 2013,160,SIMON & SCHUSTER,English
Twice Tempted : A Night Prince Novel,Jeaniene Frost,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,26 Mar 2013,384,HarperCollins Publishers Inc,English
The Brightest Star in the Sky,Marian Keyes,Fiction Books:Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas:Funny Books & Stories,07 Feb 2011,640,Penguin Books Ltd,English
Devil in Spring,Lisa Kleypas,Historical Romance:Historical Romance,21 Feb 2017,384,AVON BOOKS,English
Seduction in Death,J. D. Robb,Contemporary Fiction:Crime:Crime Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Sep 2001,354,Penguin Putnam Inc,English
You're the One That I Want,Giovanna Fletcher,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Oct 2015,400,Penguin Books Ltd,English
Sunstone Volume 1,Stjepan Sejic,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Graphic Novels Anime & Manga:Graphic Novels Anime & Manga,06 Jan 2015,128,Image Comics,English
Secrets in Death : An Eve Dallas Novel (in Death Book 45),J. D. Robb,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Science Fiction:Science Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2018,416,St. Martin's Press,English
Rush : Book One of the Breathless Trilogy,Maya Banks,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 May 2013,410,Penguin Putnam Inc,English
Archangel's Viper : Book 10,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,28 Sep 2017,368,Orion Publishing Co,English
Firefly Lane,Kristin Hannah,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Jul 2013,496,Pan MacMillan,English
Tales Of The City : Tales of the City 1,Armistead Maupin,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Nov 2000,272,Transworld Publishers Ltd,English
Up From the Grave : A Night Huntress Novel,Jeaniene Frost,Fantasy:Fantasy Books:Romance:Romance Books,13 Feb 2014,384,HarperCollins Publishers Inc,English
