Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
The Prisoner of Love,Barbara Cartland,Romance;Historical Romance;Fiction,June 1st 1979,160,Bantam Books,English
Crash into You,Katie McGarry,Romance;Young Adult;Contemporary;New Adult,November 26th 2013,474,Harlequin Teen,English
Dirty Red,Tarryn Fisher,Romance;New Adult;Contemporary;Romance;Contemporary Romance,December 21st 2012,265,,
Blackmailed,Annmarie McKenna,Adult Fiction;Erotica;Erotica;Menage;Romance;Erotica;Bdsm;Romance;Erotic Romance;Contemporary,August 15th 2006,216,Samhain Publishing,English
Illusions,Aprilynne Pike,Fantasy;Young Adult;Romance;Paranormal;Fairies,May 3rd 2011,375,HarperTeen,English
Fallen,Laury Falter,Paranormal;Angels;Fantasy;Paranormal;Young Adult;Fantasy;Romance,April 1st 2009,272,,
Checkmate,Dorothy Dunnett;Vintage Books,Historical;Historical Fiction;Historical;Fiction;Cultural;Scotland,September 2nd 1997,581,Vintage,English
The Boy Next Door,Meg Cabot,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary,October 25th 2005,379,Avon,English
In Heat,Felicity Heaton,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Shapeshifters;Romance;Adult Fiction;Erotica,June 1st 2007,None,,
Howl's Moving Castle,Diana Wynne Jones,Fantasy;Young Adult;Fiction;Fantasy;Magic;Romance,August 1st 2001,329,Harper Trophy,English
The House at Riverton,Kate Morton,Historical;Historical Fiction;Fiction;Mystery;Historical;Romance,June 15th 2007,599,Pan,English
Club Shadowlands,Cherise Sinclair,Romance;Contemporary;Romance;Erotic Romance;Adult,January 2009,155,Loose Id,
Bareback,Chris Owen,Romance;M M Romance;Romance;Contemporary,July 1st 2003,376,Torquere Press,English
Bluegrass Undercover,Kathleen Brooks,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary,April 14th 2012,242,Createspace Independent Publishing Platform,English
Little Women,Lucia Monfried;Louisa May Alcott,Classics;Fiction;Young Adult,December 3rd 2005,238,Abdo Publishing Company,None
The Legacy,Katherine Webb,Historical;Historical Fiction;Fiction;Mystery;Historical;Romance;European Literature;British Literature,August 30th 2011,464,William Morrow Paperbacks,English
The Barbarian Prince,Michelle M. Pillow,Romance;Science Fiction;Fantasy;Dragons;Fantasy;Paranormal;Fantasy;Science Fiction;Aliens;Romance;Paranormal Romance;Paranormal;Shapeshifters,June 1st 2005,204,New Concepts Publishing,English
The Kite Runner,Khaled Hosseini,Fiction;Historical;Historical Fiction;Contemporary,May 1st 2004,371,Riverhead Books,English
My Sister's Keeper,Jodi Picoult,Fiction;Womens Fiction;Chick Lit;Contemporary,February 1st 2005,423,Washington Square Press,English
The Boys Next Door,Sierra Dafoe,Erotica;Menage;Menage;M F M;Adult Fiction;Erotica;Romance;Romance;Contemporary Romance,,82,,None
Fated,Rebecca Zanetti,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,March 1st 2011,299,Brava,English
Fissure,Nicole  Williams,New Adult;Young Adult;Romance;Paranormal Romance;Fantasy;Romance;Fantasy;Paranormal,April 2012,265,,
The Reluctant Heiress,Eva Ibbotson,Young Adult;Historical;Historical Fiction;Romance;Historical Romance;Historical;Young Adult;Teen;Womens Fiction;Chick Lit,April 30th 2009,368,Speak,English
Ruthless People,J.J. McAvoy,Romance;Dark;Did Not Finish;New Adult;Contemporary,July 15th 2014,342,The Writers Coffee Shop,
Caged,Amber Lynn Natusch,Fantasy;Paranormal;Fantasy;Romance;Fantasy;Urban Fantasy;Shapeshifters;Werewolves,December 15th 2011,260,Amber Lynn Natusch,
Collision Course,S.C. Stephens,Young Adult;Romance;New Adult;Contemporary;Romance;Contemporary Romance,April 25th 2010,332,S.C. Stephens,
The Summerhouse,Jude Deveraux,Romance;Fiction;Science Fiction;Time Travel;Womens Fiction;Chick Lit;Romance;Contemporary Romance,May 7th 2002,368,Pocket Books,English
The Three Musketeers,Alexandre Dumas,Classics;Fiction;Historical;Historical Fiction;Adventure;Literature;Cultural;France;Historical;European Literature;French Literature;Classics;Classic Literature;Novels,February 13th 2001,625,Modern Library,
From What I Remember...,Stacy Kramer;Val Thomas,Contemporary;Romance;Young Adult;Young Adult;High School;Womens Fiction;Chick Lit;Travel;Road Trip;Realistic Fiction,May 15th 2012,462,Disney-Hyperion,
Sacrifice of Love,Quinn Loftis,Shapeshifters;Werewolves;Fantasy;Paranormal;Romance;Young Adult;Fantasy,September 13th 2013,307,,
Love Hacked,Penny Reid,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Womens Fiction;Chick Lit;Humor,March 3rd 2014,390,Caped Publishing,
The Talisman Ring,Georgette Heyer,Romance;Historical;Historical Fiction;Historical;Regency;Romance;Historical Romance;Fiction;Historical,February 18th 2011,323,Cornerstone Digital,
Concealed in Death,J.D. Robb,Mystery;Romance;Fiction,February 18th 2014,402,Berkley,English
Paper Princess,Erin Watt;Elle Kennedy;Jen Frederick,Romance;New Adult;Contemporary;Young Adult,April 4th 2016,370,Timeout LLC,
For You,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Suspense,March 14th 2011,583,Amazon Digital Services; Inc.,
Pucked,Helena Hunting,Romance;Sports and Games;Sports;New Adult;Contemporary;Romance;Contemporary Romance;Contemporary Romance;Sports Romance;Humor;Funny,May 3rd 2015,382,Helena Hunting,
The Unofficial Zack Warren Fan Club,J.C. Isabella,Sports and Games;Sports;Contemporary;New Adult;Academic;College;Romance;Contemporary Romance;Young Adult;Young Adult Romance;Contemporary Romance;Sports Romance;Young Adult;Teen,November 13th 2011,230,,
United Eden,Nicole  Williams,Fantasy;Paranormal;Romance;Fantasy;Romance;Paranormal Romance;Young Adult,September 16th 2011,198,,
The Complete Fairy Tales,Hans Christian Andersen;Lily Owens;Arthur Rackham;Hans Richter,Classics;Childrens;Fiction;Fantasy;Fairy Tales,January 1996,803,Gramercy Books,English
Because You Are Mine: The Complete Novel,Beth Kery,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Romance;Erotic Romance;Contemporary,March 5th 2013,368,Berkley,
Show No Mercy,Cindy Gerard,Romance;Romantic Suspense;Romance;Suspense;Contemporary;War;Military;Romance;Contemporary Romance,September 23rd 2008,359,Pocket Star,English
Captive,Brenda Rothert,Sports and Games;Sports;Romance;Romance;Contemporary Romance;New Adult;Sports;Hockey,January 27th 2014,None,,None
Lost and Found,Lori L. Otto,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult,March 24th 2011,386,Createspace Independent Publishing Platform,English
Consumed,Rebecca Zanetti,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Paranormal;Shapeshifters,July 5th 2012,336,Kensington,English
Missing You,Meg Cabot,Young Adult;Fantasy;Paranormal;Romance;Fantasy;Mystery,December 26th 2006,268,HarperTempest,
Searching For Moore,Julie A. Richman,Romance;Romance;Contemporary Romance;Contemporary;Did Not Finish,April 11th 2013,378,,
One Tiny Lie,K.A. Tucker,New Adult;Contemporary;Romance;Academic;College;Romance;Contemporary Romance;Young Adult,June 11th 2013,279,Atria Books,English
Edge,Brenda Rothert,Sports and Games;Sports;Romance;Contemporary Romance;Romance;Contemporary Romance;Sports Romance;Sports;Hockey,May 1st 2014,None,,None
Breaking Sin (Sin; #1),Teresa Mummert,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Academic;College,March 17th 2012,128,CreateSpace,None
Free Falling,Kirsty Moseley,Romance;Young Adult;New Adult;Contemporary;Young Adult;High School,May 15th 2013,281,Kirsty Moseley,None
Fallen Eden,Nicole  Williams,Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fantasy;Young Adult,July 20th 2011,231,,
Desire,Amanda Quick;Jayne Ann Krentz,Romance;Romance;Historical Romance;Historical;Historical;Medieval;Fiction,December 1993,373,Bantam Books,English
Never Never: Part Three,Colleen Hoover;Tarryn Fisher,Romance;Young Adult;Contemporary;New Adult;Mystery,January 19th 2016,92,,
Black Rainbow,J.J. McAvoy,Romance;New Adult;Romance;Contemporary Romance;Academic;College;Contemporary,May 15th 2015,325,NYLA,
Across the Universe,Beth Revis,Young Adult;Science Fiction;Science Fiction;Dystopia;Romance,January 11th 2011,399,Razorbill,English
Meridian,Amber Kizer,Young Adult;Fantasy;Paranormal;Angels;Fantasy;Paranormal;Romance,August 11th 2009,320,Delacorte Press,English
Drive,Brenda Rothert,Sports and Games;Sports;Sports;Hockey;Romance;Contemporary Romance;Romance;Contemporary Romance;Sports Romance,July 26th 2014,None,,None
Turn to Me,Tiffany Snow,Romance;Romance;Romantic Suspense;Suspense;Mystery,April 13th 2012,444,,
A Kiss For Midwinter,Courtney Milan,Romance;Romance;Historical Romance;Historical;Novella;Historical;Historical Fiction;Holiday;Christmas,December 18th 2012,121,Smashwords Edition,
The General's Daughter,Nelson DeMille,Fiction;Mystery;Thriller;Suspense;Mystery;Crime;Thriller;Mystery Thriller;War;Military;Mystery;Detective;Action;Drama,November 1st 1993,464,Grand Central Publishing,English
Drawn Together,Z.A. Maxfield,Romance;M M Romance;Romance;Contemporary;Gay Romance;Gay For You,March 10th 2009,212,Loose. Id,English
Middlesex,Jeffrey Eugenides,Fiction;Historical;Historical Fiction;Contemporary,May 3rd 2003,529,Bloomsbury Publishing Plc,English
Time Stands Still,Lori L. Otto,Romance;Contemporary;Romance;Contemporary Romance;New Adult,August 8th 2010,386,,
Seducing Samantha,R.E. Butler,Fantasy;Paranormal;Paranormal;Shapeshifters;Erotica;Menage;Romance;Romance;Paranormal Romance;Adult Fiction;Erotica,February 11th 2013,163,,
Gravity,Dannika Dark,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Fantasy;Romance;Paranormal Romance;Fantasy;Magic,May 16th 2013,368,dannika dark,
Fast Women,Jennifer Crusie,Womens Fiction;Chick Lit;Fiction;Romance;Contemporary;Mystery;Humor,,565,Pan Books,
Fate Interrupted,Kaitlyn Cross,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,December 4th 2012,232,Kaitlyn Cross,
Moore to Lose,Julie A. Richman,Romance;Romance;Contemporary Romance;Contemporary,September 28th 2013,338,CreateSpace Independent Publishing Platform,English
The Man from Stone Creek,Linda Lael Miller,Westerns;Romance;Historical Romance;Historical;Romance;Western Romance;Romance;Fiction,June 1st 2006,331,Harlequin Books,
Sweet Reckoning,Wendy Higgins,Young Adult;Fantasy;Paranormal;Paranormal;Angels;Romance;Fantasy;Paranormal;Demons,April 29th 2014,379,HarperTeen,
Gitme,Selvi Atıcı,Cultural;Turkish,February 2016,496,Nemesis Kitap,
Coyote's Mate,Lora Leigh,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Adult Fiction;Erotica;Paranormal;Shapeshifters,February 3rd 2009,341,Berkley Books,English
Le Petit Prince,Antoine de Saint-Exupéry,Childrens;Classics;Cultural;France;Young Adult,November 14th 2012,96,Gallimard,
Circus of the Damned,Laurell K. Hamilton,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Horror;Romance,January 2nd 2007,320,Berkley,English
Bound,Brenda Rothert,Romance;Sports and Games;Sports;New Adult;Romance;Contemporary Romance;Contemporary,December 8th 2013,296,CreateSpace Independent Publishing Platform,
Indebted,Amy A. Bartol,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Young Adult;Romance;Romance;Paranormal Romance,April 24th 2012,427,CreateSpace,
Lonely Souls,Karice Bolton,Fantasy;Paranormal;Fantasy;Mystery,June 29th 2012,290,Bulldog Press,English
Belle,Lesley Pearse,Historical;Historical Fiction;Romance;Historical;Fiction,February 2011,624,Michael Joseph,English
Germinal,Émile Zola;Roger Pearson,Classics;Fiction;Cultural;France;European Literature;French Literature,January 29th 2004,592,Penguin Classics,English
Tall; Dark; and Texan,Jodi Thomas,Romance;Westerns;Romance;Historical Romance;Historical;Romance;Western Romance,October 28th 2008,293,Jove,English
Someone to Love,Addison Moore,Romance;New Adult;Academic;College;Contemporary;Romance;Contemporary Romance,December 21st 2012,268,Amazon Digital Services; Inc.,
The Evolution of Mara Dyer,Michelle Hodkin,Young Adult;Fantasy;Fantasy;Paranormal;Romance,October 23rd 2012,528,Simon & Schuster Books for Young Readers,English
Cyrus,M.J. Fields,Romance;Adult Fiction;Erotica;New Adult;Romance;Contemporary Romance;Contemporary,October 21st 2013,224,,
Tempting Rever,Laurann Dohner,Romance;Science Fiction;Aliens;Science Fiction;Fantasy;Paranormal;Romance;Paranormal Romance;Adult Fiction;Erotica,May 26th 2010,119,Ellora's Cave Publishing,
The Making of a Gentleman,Shana Galen,Romance;Historical Romance;Romance;Historical;Fiction;Historical;Regency,October 1st 2010,363,Sourcebooks Casablanca,English
The Russian Concubine,Kate Furnivall,Historical;Historical Fiction;Fiction;Romance;Historical;Cultural;Russia;Cultural;China;Romance;Historical Romance;Cultural;Asia;Womens Fiction;Chick Lit;Adult,June 27th 2007,517,Berkley,English
Music of the Heart,Katie Ashley,Romance;New Adult;Music;Contemporary;Romance;Contemporary Romance,March 24th 2013,369,Smashwords,English
To the Brink,Cindy Gerard,Romance;Romantic Suspense;Romance;Suspense;Romance;Contemporary Romance;Contemporary;War;Military,December 27th 2005,352,St. Martin's Paperbacks,English
Heaven and Hell,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,December 28th 2011,472,,
Impulse,Dannika Dark,Fantasy;Paranormal;Fantasy;Urban Fantasy;Fantasy;Romance;Romance;Paranormal Romance;Fantasy;Magic;Paranormal;Vampires,October 29th 2012,365,Dannika Dark,
Het Rosie Project,Graeme Simsion;Linda Broeder,Fiction;Romance;Contemporary;Humor;Womens Fiction;Chick Lit,October 7th 2013,330,Sijthoff,Dutch
Ceaseless,Abbi Glines,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,September 18th 2012,195,,
The Power of Six,Pittacus Lore,Young Adult;Fantasy;Science Fiction;Science Fiction;Aliens,August 23rd 2011,406,HarperCollins,English
Sea of Stars,Amy A. Bartol,Fantasy;Romance;Young Adult;Science Fiction,March 31st 2015,320,47North,
Absolutely Captivated,Kristine Grayson;Kristine Kathryn Rusch,Romance;Fantasy;Paranormal;Fantasy;Fantasy;Magic;Contemporary;Fiction;Womens Fiction;Chick Lit,January 1st 2004,384,Zebra,English
Emerald Fire,Hallee Bridgeman,Christian Fiction;Christian;Romance;Romance;Christian Romance,April 23rd 2012,269,Olivia Kimbrell Press,
Nobody's Darling,Teresa Medeiros,Romance;Historical Romance;Romance;Historical;Westerns;Romance;Western Romance,April 1st 1998,400,Bantam,English
Twist,Dannika Dark,Fantasy;Paranormal;Fantasy;Urban Fantasy;Fantasy;Romance;Paranormal Romance;Romance;Fantasy;Magic,February 26th 2012,283,Dannika Dark,
Kidnapping Casey,Laurann Dohner,Science Fiction;Aliens;Science Fiction;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Adult Fiction;Erotica,January 29th 2010,130,Ellora's Cave Publishing,English
Three Wishes,Kristen Ashley,Romance;Fantasy;Paranormal;Fantasy;Contemporary;Romance;Contemporary Romance;Romance;Paranormal Romance,April 8th 2011,409,,None
Take a Chance on Me,Susan Donovan,Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Romance;Humor;Mystery,August 18th 2003,337,St. Martin's,
Always You,Kirsty Moseley,Romance;Young Adult;New Adult;Contemporary;Young Adult;High School,October 31st 2012,329,,
The Wyndham Legacy,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,September 1st 1994,392,Jove,English
Darken the Stars,Amy A. Bartol,Fantasy;Romance;Young Adult;New Adult;Fantasy;Paranormal;Science Fiction;Science Fiction;Aliens;Fiction;Romance;Paranormal Romance;Science Fiction;Dystopia,September 8th 2015,None,,
Predestined,Abbi Glines,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,March 29th 2012,213,,
If You Give A Girl A Viscount,Kieran Kramer,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,November 1st 2011,400,St. Martin's Paperbacks,
North and South,John Jakes,Historical;Historical Fiction;Fiction;Historical;Military History;Civil War;War,June 1st 2000,812,Signet,English
Here Without You,Tammara Webber,Romance;Young Adult;Contemporary,August 6th 2013,250,,English
Breathing Room,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,June 26th 2003,320,Piatkus,English
Touch of Power,Maria V. Snyder,Fantasy;Young Adult;Fantasy;Magic;Romance;Fantasy;High Fantasy;Adventure;Fantasy;Paranormal;Fiction;Young Adult;Young Adult Fantasy;Horror;Zombies,December 2012,390,,
Angel's Rest,Emily March,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,February 15th 2011,327,Ballantine Books,English
Nethergate,Norah Lofts,Historical;Historical Fiction;Romance;Fiction;Historical;Romance;Historical Romance,June 12th 1981,256,Fawcett,English
Radiance,Grace Draven,Fantasy;Romance;Romance;Fantasy Romance;Fantasy;Paranormal;Fantasy;Magic;Romance;Paranormal Romance;Adult,February 2014,224,Grace Draven,
Petals on the Wind,V.C. Andrews,Fiction;Horror;Young Adult,November 28th 1990,439,Pocket,English
True Confessions,Rachel Gibson,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Adult;Humor;Humor;Funny;Modern;Love,November 24th 2009,356,Avon,English
Falling Into Paradise,Kamy Chetty,Contemporary,January 1st 2013,None,Red Sage Publishing; Inc.,
Ride with Me,Ruthie Knox,Romance;Romance;Contemporary Romance;Contemporary;Adult;Sports and Games;Sports,February 13th 2012,216,Loveswept,None
Don't Mess with Texas,Christie Craig,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Mystery;Romance;Romantic Suspense,August 26th 2011,464,Forever,
Destiny Kills,Keri Arthur,Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Fantasy;Fantasy;Dragons,,338,,
He Loves Lucy,Susan Donovan,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Humor;Funny,April 5th 2005,335,St. Martin's Paperbacks,English
The Secret Pearl,Mary Balogh,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical Romance;Regency Romance;Historical;Historical Fiction,November 29th 2005,401,Dell,English
Untamed,P.C. Cast;Kristin Cast,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal,September 23rd 2008,338,St. Martin's Griffin,English
All the Right Reasons,Sandy James,Romance;Romance;Contemporary Romance;Contemporary;War;Military,May 1st 2009,309,BookStrand,English
Mary Stewart's Merlin Trilogy,Mary  Stewart,Fantasy;Fiction;Mythology;Arthurian;Historical;Historical Fiction,September 7th 2004,928,Harper Voyager,English
A Love like This,Kahlen Aymes,Romance;New Adult;Romance;Contemporary Romance;Contemporary,June 24th 2013,440,Telemachus,
Incendiary,Amy A. Bartol,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Young Adult;Romance;Romance;Paranormal Romance,November 28th 2012,460,CreateSpace,
And One Last Thing ...,Molly Harper,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Contemporary;Humor;Fiction;Audiobook;Humor;Funny;Adult;Fantasy;Paranormal,July 27th 2010,310,Gallery Books,
Letter Perfect,Cathy Marie Hake,Christian Fiction;Historical;Historical Fiction;Romance;Christian;Historical;Fiction;Romance;Christian Romance,August 1st 2006,379,Bethany House Publishers,English
Baby; Don't Go,Susan Andersen,Romance;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Romance;Romantic Suspense,March 25th 2014,357,Avon,None
The Courtship Dance,Candace Camp,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical Romance;Regency Romance,January 20th 2009,377,Harlequin Books,English
Bound Together,Marie Coulson,Romance;New Adult;Erotica;Bdsm;Academic;College,November 30th 2012,614,CreateSpace,
A Change of Fortune,Jen Turano,Historical;Historical Fiction;Romance;Christian Fiction;Romance;Historical Romance;Christian;Historical,November 1st 2012,320,Bethany House Publishers,English
The Charm School,Susan Wiggs,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,March 1st 2001,408,Mira Books,English
Meant to Be,Tiffany King,Young Adult;Paranormal;Angels;Fantasy;Paranormal;Romance;Fantasy;Romance;Paranormal Romance,March 17th 2011,287,,
The Scorpio Races,Maggie Stiefvater,Fantasy;Young Adult;Romance;Fiction;Fantasy;Mythology,October 18th 2011,409,Scholastic Press,English
Coming Home,Rosamunde Pilcher,Fiction;Historical;Historical Fiction;Romance;Historical;War;World War II,July 1st 2005,977,Hodder & Stoughton,English
The Heiress Bride,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction,July 1st 1993,406,Jove,English
Lily and the Major,Linda Lael Miller,Romance;Romance;Historical Romance;Historical;Westerns;Romance;Western Romance;Historical;Historical Fiction,December 1st 1990,384,Pocket Books,English
Henrietta's Own Castle,Betty Neels,Romance;Fiction;Category Romance;Harlequin;Harlequin;Harlequin Romance;Harlequin;Hqn,December 2005,218,Harlequin Books,English
Lord of Devil Isle,Connie Mason,Romance;Historical Romance;Romance;Historical;Adventure;Pirates,May 1st 2010,310,Leisure Books,English
Garters,Pamela Morsi,Romance;Historical Romance;Romance;Historical;Westerns;Romance;Western Romance,August 1st 1992,322,Jove,English
Hudson,Laurelin Paige,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary,July 8th 2014,350,Laurelin Paige,
She Went All the Way,Meg Cabot,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Romance;Contemporary Romance,December 3rd 2002,357,Avon,English
To Have and To Hold,Patricia Gaffney,Romance;Historical Romance;Romance;Historical;Historical;Regency;Fiction,March 4th 2003,384,NAL Trade,English
Sins & Needles,Karina Halle,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult,January 25th 2013,438,Metal Blonde Books,English
Marked by Midnight,Lara Adrian,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance,June 30th 2014,146,Lara Adrian; LLC,English
Shadowland,Meg Cabot,Young Adult;Fantasy;Paranormal;Fantasy;Romance;Paranormal;Ghosts,,287,Avon Books,English
Can't Get Enough,Sarah Mayberry,Romance;Romance;Contemporary Romance;Category Romance;Harlequin;Contemporary;Harlequin;Harlequin Blaze,October 1st 2005,250,Harlequin,English
The Devil Wears Plaid,Teresa Medeiros,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Cultural;Scotland,August 24th 2010,407,Pocket Books,English
Anything for You,Sarah Mayberry,Romance;Romance;Contemporary Romance;Contemporary;Category Romance;Harlequin;Harlequin;Harlequin Blaze;Romance;Category Romance,September 1st 2006,248,Harlequin Books,English
Underworld,Meg Cabot,Young Adult;Fantasy;Fantasy;Mythology;Romance;Fantasy;Paranormal,May 8th 2012,336,Point,English
The Fall Up,Aly Martinez,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Did Not Finish,October 20th 2015,262,Createspace Independent Publishing Platform,
Once Upon a Winter's Eve,Tessa Dare,Romance;Romance;Historical Romance;Historical;Novella;Historical;Historical Fiction;Historical;Regency,November 15th 2011,113,Samhain Publishing,English
Ruining Me,Nicole Reed,New Adult;Romance;Young Adult;Contemporary,September 26th 2012,149,,
Sen,Selvi Atıcı,Asian Literature;Turkish Literature;Cultural;Turkish,May 15th 2015,424,Müptela Yayınları,None
The Queen of Attolia,Megan Whalen Turner,Fantasy;Young Adult;Fiction;Adventure;Romance,January 24th 2006,362,Eos,English
Caroline and the Raider,Linda Lael Miller,Romance;Romance;Historical Romance;Historical;Westerns;Romance;Western Romance,March 1st 1992,384,Pocket Books,English
Sapphire Ice,Hallee Bridgeman,Christian Fiction;Christian;Romance;Romance;Christian Romance;Contemporary;Romance;Contemporary Romance,March 26th 2012,244,Olivia Kimbrell Press,
Bir Günah Gibi,Burcu Büyükyıldız,Cultural;Turkish,April 30th 2015,640,Ephesus Yayınları,
The Iron Knight,Julie Kagawa,Fantasy;Young Adult;Romance;Fantasy;Paranormal;Paranormal;Fairies,October 26th 2011,400,Harlequin TEEN,English
The Ivy Tree,Mary  Stewart,Mystery;Romance;Fiction;Gothic;Romance;Romantic Suspense;Suspense;Historical;Historical Fiction,December 4th 2001,400,HarperTorch,English
The Persimmon Tree,Bryce Courtenay,Historical;Historical Fiction;Fiction;Audiobook,June 5th 2007,711,Viking,English
Undeniable,Madeline Sheehan,Romance;Dark;Contemporary,October 25th 2012,219,Madeline Sheehan,
Beautiful Broken Rules,Kimberly Lauren,New Adult;Romance;Academic;College;Contemporary;Romance;Contemporary Romance,May 14th 2013,225,,None
Into the Dark,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance,April 27th 2010,394,Harlequin,
Ashes,Ilsa J. Bick,Young Adult;Horror;Zombies;Science Fiction;Dystopia;Horror;Apocalyptic;Post Apocalyptic,September 6th 2011,465,Egmont USA,English
Where There's Smoke,Sandra Brown,Romance;Mystery;Suspense;Romance;Romantic Suspense;Contemporary,May 1st 1994,512,Grand Central Publishing (Formerly Warner Books),English
Uncovered,Linda Winfree,Romance;Romance;Romantic Suspense;Contemporary;Romance;Contemporary Romance,July 1st 2009,272,Samhain Publishing; Ltd.,
Texas Glory,Lorraine Heath,Romance;Historical Romance;Romance;Westerns;Historical;Romance;Western Romance,,358,Topaz,English
The Countess Conspiracy,Courtney Milan,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,December 16th 2013,309,Courtney Milan,English
Fortune's Fool,Mercedes Lackey,Fantasy;Romance;Fantasy;Fairy Tales;Fiction;Fantasy;Magic,March 1st 2007,362,Luna Books,English
The Rocker That Holds Me,Terri Anne Browning,Romance;New Adult;Contemporary;Music;Romance;Contemporary Romance,January 24th 2013,102,Anna Henson,
Heartbeat,Danielle Steel,Romance;Fiction;Womens Fiction;Chick Lit,May 29th 2007,432,Dell,English
Sweet on You,Kate Perry,Romance;Romance;Contemporary Romance;Contemporary,December 20th 2012,188,Phoenix Rising Enterprises; Inc,
Getting Rid of Bradley,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Contemporary;Fiction;Mystery;Humor;Funny,November 1st 2001,248,Mira,English
The House on the Strand,Daphne du Maurier;Celia Brayfield,Fiction;Historical;Historical Fiction;Science Fiction;Time Travel;Classics;Mystery;Fantasy;Science Fiction,May 1st 2003,329,Virago Press Ltd,English
Serendipity,Carly Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,September 6th 2011,283,Berkley,English
Silver Lining,Maggie Osborne,Romance;Historical Romance;Romance;Historical;Westerns;Historical;Historical Fiction;Romance;Western Romance,January 4th 2000,352,Ivy Books,English
The Indigo Spell,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,February 12th 2013,401,Razorbill / Penguin Group,English
Unstoppable Love & Happiness,K. Fowler,Family Law;Divorce,December 12th 2012,205,,None
Just Ella,Margaret Peterson Haddix,Fantasy;Young Adult;Fantasy;Fairy Tales;Romance;Fiction,,None,,
Torture to Her Soul,J.M. Darhower,Dark;Romance;New Adult;Contemporary,September 29th 2014,394,,None
Trial by Desire,Courtney Milan,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,October 1st 2010,368,HQN Books,
The Blessing,Jude Deveraux,Romance;Romance;Contemporary Romance;Contemporary;Fiction,June 1st 1999,336,Pocket Star,English
Fifth Grave Past the Light,Darynda Jones;Lorelei King,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Fantasy;Romance;Paranormal Romance;Mystery,July 9th 2013,339,St. Martin's Press,English
