,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
2772,2772,687,90,Bridget Jones: The Edge of Reason,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Jun 2000,432,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2773,2773,713,90,Bridget Jones's Baby : The Diaries,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,09 Nov 2016,240,Random House Children's Publishers UK,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2774,2774,1234,90,Bridget Jones's Diary (Film Tie-in),Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sci Fi Books for Kids,23 Mar 2001,320,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2775,2775,1469,90,Bridget Jones's Diary,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Sep 1997,320,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2796,2796,2653,90,Bridget Jones: The Edge of Reason Film Tie-In,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2004,432,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2798,2798,3051,90,Bridget Jones's Baby : The Diaries,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,01 Jun 2017,240,Vintage Publishing,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2802,2802,212,91,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English
2803,2803,590,91,The Darkest Touch : A Spellbinding Paranormal Romance Novel,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Mar 2015,496,Harlequin Books,English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English
2874,2874,2480,92,Natural Born Charmer,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2009,394,HarperCollins Publishers Inc,English,Natural Born Charmer,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,February 6th 2007,400,William Morrow,English
2919,2919,1128,93,Pandemonium (Delirium Trilogy 2),Lauren Oliver,Contemporary Fiction:Science Fiction:Science Fiction:Romance:Romance Books,27 Sep 2012,352,Hodder & Stoughton General Division,English,Delirium,Lauren Oliver,Young Adult;Science Fiction;Dystopia;Romance,February 7th 2012,441,HarperCollins,English
2972,2972,484,97,The Many Sins Of Lord Cameron,Jennifer Ashley,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Nov 2011,312,Penguin Putnam Inc,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English
